mode,capacity,processes,db_pool,jobs_per_second,wall_time_s,completed_jobs,failed_jobs,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
thread,10,1,15,30.35,65.905,2000,2000,152396,149333,25.1,99.2,36.18,48.91,643.34,855.8,0.28,0.54,1.18,18.79,36.49,49.2,643.85,856.38
thread,25,1,30,29.07,68.788,2000,2000,151104,145297,24.3,107.2,36.39,46.39,385.46,927.92,0.28,0.34,0.89,9.15,36.69,46.69,386.35,928.47
thread,50,1,55,29.0,68.972,2000,2000,146472,141033,24.4,109.2,36.53,46.42,484.93,962.71,0.28,0.35,0.85,12.06,36.82,46.75,485.7,963.24
thread,75,1,80,29.01,68.942,2000,2000,144308,141783,24.4,109.2,36.58,46.7,387.98,992.96,0.28,0.37,0.81,10.37,36.87,46.97,398.34,993.69
thread,100,1,105,28.97,69.038,2000,2000,146528,141826,24.3,109.2,36.5,46.63,384.65,1023.81,0.27,0.36,0.85,9.85,36.78,46.9,393.47,1024.83
thread,150,1,155,28.93,69.123,2000,2000,147428,142388,24.3,109.3,36.54,45.88,381.24,923.87,0.28,0.5,0.78,10.13,36.83,46.14,381.79,924.44
thread,200,1,205,28.84,69.359,2000,2000,145264,141079,24.4,109.2,36.6,46.68,364.73,930.05,0.28,0.77,0.91,9.6,36.92,46.95,366.98,930.94
thread,10,2,15,28.66,69.774,2000,2000,292888,274597,29.7,206.2,36.85,45.34,370.95,875.7,0.35,0.43,1.02,19.15,37.21,45.79,371.8,877.0
thread,25,2,30,28.87,69.282,2000,2000,258992,250892,30.0,168.5,36.72,45.35,391.15,943.69,0.33,0.41,0.87,9.17,37.07,45.65,396.41,944.44
thread,50,2,55,29.01,68.938,2000,2000,270308,261054,29.9,168.6,36.55,44.88,422.98,927.37,0.33,0.42,0.86,10.3,36.88,45.16,423.67,937.67
thread,75,2,80,29.04,68.872,2000,2000,259212,252000,30.0,168.6,36.59,45.17,373.7,922.24,0.33,0.42,0.83,10.57,36.93,45.53,374.6,930.25
thread,100,2,105,28.94,69.1,2000,2000,246652,241750,30.0,156.3,36.56,44.92,355.22,924.45,0.33,0.44,0.86,10.07,36.9,45.3,355.86,924.99
