mode,capacity,processes,db_pool,jobs_per_second,wall_time_s,completed_jobs,failed_jobs,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
thread,10,1,15,23.16,21.586,500,0,138736,122823,96.7,109.2,6673.08,11584.08,12023.21,12163.11,35.21,37.62,42.0,107.88,6707.59,11619.26,12057.04,12198.63
thread,25,1,30,23.09,21.656,500,0,202376,169983,96.8,109.3,3615.26,5714.37,5872.22,5983.7,35.63,37.76,40.67,101.02,3650.44,5749.38,5906.19,6017.74
thread,50,1,55,22.74,21.988,500,0,263916,223225,96.8,109.3,3676.74,5776.43,6059.62,6456.29,36.19,39.68,42.12,90.67,3711.89,5811.65,6095.81,6493.91
thread,75,1,80,22.49,22.234,500,0,302492,263846,96.9,118.1,3806.4,6249.84,6799.13,6993.32,36.57,39.75,63.72,99.37,3842.35,6285.69,6833.86,7028.21
thread,10,2,15,41.79,11.963,500,0,259632,225200,187.5,218.3,1531.82,1971.34,2024.74,2078.45,37.26,41.26,63.22,106.67,1572.41,2007.46,2060.53,2115.55
thread,25,2,30,41.15,12.151,500,0,359216,314962,186.7,218.3,1284.99,1842.15,1940.24,2008.37,37.82,43.08,61.04,103.57,1321.57,1878.24,1975.62,2045.95
thread,50,2,55,26.83,18.635,500,0,279412,263612,126.6,208.3,46.83,561.2,1427.01,1739.55,38.5,42.98,63.02,116.31,85.42,603.5,1464.95,1779.4
thread,75,2,80,26.94,18.56,500,0,282696,266895,124.7,215.9,45.92,700.11,1272.79,1861.01,37.75,41.39,61.74,113.63,83.67,740.01,1311.66,1899.78
thread,100,2,105,26.96,18.545,500,0,287884,272064,125.0,208.4,45.73,547.35,1310.02,1451.31,37.53,41.73,58.67,110.45,83.49,588.65,1349.8,1489.49
thread,150,2,155,26.88,18.6,500,0,295456,276496,125.5,218.1,46.13,846.56,1530.91,1810.16,37.89,42.16,60.85,112.32,84.33,888.1,1570.08,1850.53
thread,200,2,205,27.1,18.453,500,0,296932,280006,125.5,208.2,46.11,716.19,1391.66,1780.97,37.39,40.5,62.95,112.19,83.83,788.46,1433.14,1820.99
thread,10,4,15,27.88,17.933,500,0,433084,412133,144.4,396.6,39.62,273.65,1024.2,1127.99,38.49,42.65,80.84,130.25,78.48,318.54,1065.61,1169.12
thread,25,4,30,27.62,18.106,500,0,449276,425292,143.8,386.4,39.21,191.91,1445.78,1714.41,38.82,42.74,65.04,125.58,78.75,236.31,1489.85,1752.36
thread,50,4,55,27.73,18.032,500,0,467092,442380,144.6,396.0,39.11,586.84,1354.4,1730.44,38.69,42.22,61.8,132.35,77.87,626.95,1393.11,1768.64
thread,75,4,80,27.7,18.053,500,0,457088,432877,144.0,383.2,38.91,391.68,1384.67,1910.02,38.44,42.66,62.08,122.93,77.9,496.9,1422.11,1949.76
thread,100,4,105,27.67,18.069,500,0,449176,425932,144.0,366.7,39.23,571.82,1459.45,1928.08,38.64,42.65,65.97,123.8,78.73,649.35,1498.52,1966.66
thread,150,4,155,27.82,17.975,500,0,453320,427341,144.3,376.4,39.21,584.19,1529.92,1888.11,38.48,42.42,63.41,121.54,78.49,621.88,1566.68,1925.89
thread,200,4,205,27.78,18.001,500,0,454572,428673,145.4,343.8,39.76,581.46,1325.77,1750.27,39.18,45.05,71.45,123.5,79.61,620.79,1368.12,1796.75
async,10,1,5,22.78,21.949,500,0,112192,101957,92.8,109.2,3787.5,6158.64,6322.48,6371.46,35.68,37.76,40.69,78.74,3823.9,6193.03,6357.67,6406.21
async,25,1,5,22.49,22.236,500,0,126244,115342,91.9,109.2,4026.34,6598.34,6808.61,6891.89,36.29,39.25,40.59,77.17,4064.65,6634.37,6844.14,6928.14
async,50,1,5,23.52,21.262,500,0,120408,110937,94.6,109.3,5714.59,10609.17,11070.63,11255.26,36.06,38.17,39.94,76.95,5750.74,10646.73,11105.11,11289.64
async,75,1,5,23.58,21.208,500,0,121148,111398,94.4,109.2,6559.52,11507.1,12003.17,12109.9,35.88,37.81,40.4,60.76,6594.67,11541.32,12037.14,12144.57
async,100,1,5,23.5,21.276,500,0,120076,111670,94.6,109.2,6700.93,11614.45,11988.02,12056.72,36.34,38.52,39.83,65.45,6736.85,11650.52,12023.58,12092.78
async,150,1,5,23.17,21.577,500,0,116832,110145,94.4,109.3,6590.44,11706.92,12306.69,12391.8,36.65,38.45,41.35,64.36,6627.31,11743.76,12342.47,12427.07
async,200,1,5,23.14,21.612,500,0,120396,111902,94.2,109.2,6786.33,12154.55,12474.64,12583.58,36.92,39.24,41.58,77.77,6823.72,12191.13,12509.65,12618.88
async,10,2,6,42.11,11.875,500,0,215912,193844,184.1,216.0,1550.76,2017.44,2085.49,2150.95,37.87,41.1,62.89,82.81,1589.76,2053.8,2123.39,2187.19
async,25,2,6,42.93,11.646,500,0,228888,204531,184.6,217.2,1377.65,1903.8,1999.51,2079.82,38.06,41.66,49.42,81.9,1416.14,1941.76,2036.78,2116.0
async,50,2,6,27.18,18.398,500,0,212980,201481,127.1,208.4,46.75,530.45,1218.06,1851.37,37.97,41.2,46.38,71.38,85.02,566.83,1254.93,1888.56
