mode,capacity,processes,db_pool,jobs_per_second,wall_time_s,completed_jobs,failed_jobs,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
thread,5,1,10,49.54,10.093,500,0,100596,91359,66.7,97.5,39.97,871.44,888.8,956.61,51.6,53.23,59.05,82.76,91.89,923.05,940.08,1039.37
thread,10,1,15,47.28,10.576,500,0,105504,94614,67.5,97.9,37.58,933.03,1023.44,1087.7,51.82,54.54,62.51,64.92,89.85,989.17,1078.89,1152.62
thread,25,1,30,45.09,11.089,500,0,108936,92365,63.7,107.1,39.13,1391.48,1753.12,1830.82,51.9,55.16,67.2,69.92,90.86,1443.61,1807.6,1894.21
thread,50,1,55,48.09,10.396,500,0,119460,105608,67.2,107.5,37.48,1057.3,1397.11,1475.24,51.8,54.75,93.74,131.4,89.45,1123.17,1450.09,1530.14
thread,75,1,80,49.99,10.001,500,0,129172,113813,68.2,114.7,36.99,1110.1,1480.03,1695.01,51.83,55.18,60.96,145.44,88.65,1164.3,1533.39,1748.29
thread,5,2,10,48.21,10.371,500,0,201848,179880,85.8,205.0,34.43,939.58,1022.31,1118.41,51.59,53.55,68.73,69.64,85.95,990.83,1083.72,1187.8
thread,10,2,15,47.79,10.463,500,0,210088,186384,84.4,224.7,33.77,923.37,1124.73,1214.59,51.62,56.8,71.47,73.46,85.41,986.04,1191.86,1288.05
thread,25,2,30,48.92,10.221,500,0,220836,192972,85.5,210.6,33.08,952.99,1241.73,1367.75,51.63,63.33,71.02,76.35,84.88,1008.07,1306.14,1439.11
thread,50,2,55,48.36,10.339,500,0,223600,199697,87.8,208.4,32.58,987.12,1305.49,1425.41,51.6,54.17,84.51,145.41,84.16,1040.89,1394.67,1497.94
thread,75,2,80,43.49,11.496,500,0,228764,203496,92.8,208.6,36.25,1333.99,1671.54,1761.02,51.7,56.99,72.78,138.5,88.11,1396.8,1740.05,1813.36
thread,5,4,10,42.99,11.629,500,0,409500,368905,123.7,417.9,32.7,847.64,1056.17,1138.61,51.56,58.65,67.32,73.02,84.47,898.92,1122.85,1205.92
thread,10,4,15,46.83,10.676,500,0,417736,370053,113.2,387.5,30.91,654.72,1017.11,1161.22,51.5,65.74,70.08,71.82,82.58,722.96,1087.19,1231.46
thread,25,4,30,47.12,10.611,500,0,422072,374370,115.7,425.6,31.03,804.25,1257.94,1414.74,51.45,69.15,79.84,97.09,82.77,858.22,1328.28,1467.7
thread,50,4,55,47.49,10.528,500,0,424240,375425,120.1,412.5,31.42,1168.1,1420.45,1505.18,51.49,66.17,79.85,159.02,82.88,1222.07,1493.34,1596.53
thread,75,4,80,47.02,10.634,500,0,423600,377348,118.2,403.0,31.34,1097.32,1358.96,1458.54,51.41,54.34,86.59,101.27,82.98,1162.18,1410.51,1510.36
async,5,1,5,54.81,9.123,500,0,99016,87528,55.2,87.7,152.18,970.95,1020.32,1074.04,51.02,52.54,57.13,69.22,203.12,1022.02,1071.14,1143.26
async,10,1,5,53.73,9.305,500,0,98988,88780,58.6,104.7,32.82,850.33,915.87,1027.08,51.08,52.81,58.1,63.62,84.3,901.62,967.72,1087.92
async,25,1,5,57.78,8.654,500,0,100428,89350,57.0,108.1,28.27,718.87,916.39,1036.15,51.06,54.45,58.24,68.12,79.6,774.37,967.16,1104.27
async,50,1,5,54.47,9.179,500,0,101040,90571,57.4,98.8,30.23,640.74,896.36,1030.05,51.09,52.83,56.8,59.72,81.38,691.81,947.18,1080.93
async,75,1,5,56.2,8.897,500,0,100828,90025,58.5,107.7,29.37,533.01,839.68,994.93,51.08,52.77,56.6,60.96,80.7,584.02,891.49,1045.82
async,5,2,6,50.12,9.977,500,0,195932,176929,80.3,201.1,31.38,803.47,944.23,1023.93,51.14,52.94,58.15,113.78,82.63,854.36,1001.11,1121.3
async,10,2,6,49.58,10.085,500,0,197160,178457,77.9,202.8,30.52,711.95,944.33,1107.86,51.15,52.72,59.19,70.04,81.78,763.55,1010.67,1160.2
async,25,2,6,49.1,10.184,500,0,198944,180040,77.0,206.0,31.13,621.26,963.29,1112.33,51.11,52.75,57.85,77.12,82.4,672.15,1014.42,1164.17
async,50,2,6,49.5,10.1,500,0,198796,179762,76.3,203.8,30.58,660.65,1000.24,1097.83,51.09,52.54,57.92,72.7,81.86,711.71,1051.13,1149.36
async,75,2,6,50.53,9.895,500,0,197272,177981,77.7,203.3,29.98,644.95,903.41,1089.91,51.09,52.69,56.58,66.03,81.43,695.57,956.64,1140.99
async,5,4,8,47.84,10.451,500,0,391688,355230,109.7,399.8,30.03,698.58,975.2,1088.64,51.1,52.48,59.56,94.74,81.28,749.53,1026.41,1153.54
async,10,4,8,47.84,10.451,500,0,391900,352176,108.6,489.0,29.04,632.2,1036.19,1131.46,51.1,52.88,58.92,70.62,80.54,687.88,1087.03,1182.45
async,25,4,8,48.06,10.403,500,0,392768,351709,108.2,371.5,29.66,780.58,1149.79,1226.06,51.12,52.81,58.49,75.53,81.19,831.77,1200.75,1276.84
async,50,4,8,47.98,10.421,500,0,391896,353479,108.3,365.1,29.4,726.66,1053.18,1117.89,51.13,53.12,60.02,120.88,80.72,778.93,1107.49,1168.84
async,75,4,8,46.46,10.761,500,0,393140,355077,111.3,367.5,30.38,760.98,1088.1,1173.98,51.14,52.76,58.72,135.03,81.84,811.97,1139.29,1225.55
