mode,capacity,processes,db_pool,jobs_per_second,wall_time_s,completed_jobs,failed_jobs,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
thread,50,1,55,9.28,53.852,500,0,143064,135512,11.3,116.1,23374.99,41146.34,41300.0,41323.44,5000.36,5002.36,5005.54,5009.37,28375.21,46146.47,46300.11,46323.6
thread,75,1,80,12.89,38.803,500,0,147576,136860,14.8,114.4,13017.49,24293.9,25094.05,25169.37,5000.43,5001.64,5003.83,5018.25,18018.16,29294.07,30094.67,30169.57
thread,100,1,105,16.81,29.736,500,0,157016,142183,25.1,115.4,8130.68,14867.45,15168.17,15208.97,5000.66,5004.1,5009.63,5022.85,13133.44,19867.91,20169.06,20209.15
thread,25,2,30,9.5,52.636,500,0,224648,217877,11.0,218.9,22526.32,39490.93,39601.59,39626.05,5000.26,5001.46,5003.53,5008.51,27528.03,44491.04,44601.74,44626.22
thread,50,2,55,18.1,27.631,500,0,267196,247069,24.7,191.8,8059.25,15436.16,15632.21,15670.25,5000.31,5001.57,5002.5,5008.85,13059.72,20437.09,20632.93,20670.41
thread,75,2,80,22.61,22.114,500,0,294724,265545,32.9,197.3,3178.7,8000.22,8113.3,8134.56,5000.22,5001.28,5003.81,5014.41,8178.88,13000.37,13113.4,13134.7
thread,100,2,105,28.7,17.42,500,0,312512,271277,43.4,176.7,1375.99,3746.22,3824.68,3940.74,5000.18,5001.23,5003.85,5015.97,6376.13,8746.42,8824.79,8940.89
thread,150,2,155,33.51,14.919,500,0,343148,282352,64.4,202.3,32.33,724.46,1112.68,1184.9,5000.16,5000.98,5002.95,5016.83,5032.55,5725.02,6113.3,6185.35
thread,200,2,205,34.12,14.655,500,0,350452,284270,66.4,184.5,32.67,871.41,1189.65,1265.83,5000.16,5001.0,5002.29,5010.59,5032.83,5872.27,6190.36,6266.0
thread,10,4,15,7.49,66.717,500,0,459716,438074,12.6,408.2,27311.07,49066.49,53376.15,53401.47,5000.16,5001.15,5009.52,5014.86,32311.6,54066.59,58376.3,58401.62
thread,25,4,30,18.48,27.063,500,0,454804,429819,25.0,369.8,7376.22,14122.87,14164.62,14192.39,5000.17,5001.23,5015.69,5022.9,12376.85,19123.44,19164.77,19192.49
thread,50,4,55,29.45,16.98,500,0,513476,455879,54.3,332.9,1287.7,3250.18,3341.91,3393.92,5000.17,5001.0,5006.46,5015.9,6287.82,8250.34,8342.07,8394.03
thread,75,4,80,33.81,14.788,500,0,567392,474661,83.2,294.6,31.28,1077.52,1378.53,1433.13,5000.17,5001.09,5010.67,5017.23,5031.53,6078.11,6379.44,6434.71
thread,100,4,105,32.94,15.181,500,0,549244,471269,90.3,313.3,30.76,934.4,1219.65,1288.29,5000.17,5001.6,5002.41,5015.45,5030.98,5936.03,6220.39,6289.53
thread,150,4,155,32.79,15.25,500,0,538636,465290,92.3,326.9,30.84,964.88,1277.2,1372.43,5000.16,5000.73,5001.45,5018.91,5031.04,5966.22,6278.16,6373.85
thread,200,4,205,33.13,15.092,500,0,539068,465961,91.1,313.2,30.75,978.49,1287.85,1347.01,5000.16,5000.78,5002.53,5016.56,5030.98,5978.98,6288.39,6347.41
async,50,1,5,9.49,52.713,500,0,111972,108653,6.3,108.6,22163.92,39896.54,40065.21,40110.39,5000.23,5002.28,5022.75,5023.57,27165.53,44896.93,45065.36,45110.5
async,75,1,5,13.25,37.73,500,0,113484,109845,9.3,108.5,12606.12,24511.59,24685.02,24716.42,5000.3,5001.68,5002.81,5009.55,17606.18,29512.0,29685.06,29716.48
async,100,1,5,18.33,27.283,500,0,140768,125133,14.2,108.5,7093.92,13171.88,13239.39,13323.06,5000.18,5000.9,5002.62,5006.12,12093.99,18171.93,18239.45,18323.16
async,150,1,5,22.56,22.159,500,0,145628,130909,23.4,108.2,3082.27,8917.12,9193.92,9272.97,5000.14,5000.77,5002.28,5006.5,8082.45,13917.28,14193.95,14273.06
async,200,1,5,29.78,16.787,500,0,144028,129543,27.0,108.6,1505.98,4195.08,4568.08,4633.48,5000.12,5000.79,5002.59,5006.28,6506.42,9195.15,9568.67,9633.7
async,25,2,6,9.62,51.964,500,0,221544,215169,7.8,197.2,22806.43,40511.89,40567.55,40583.47,5000.16,5007.97,5012.24,5013.12,27806.53,45511.98,45567.62,45583.56
async,50,2,6,18.54,26.965,500,0,224992,214050,16.5,206.1,7548.74,13983.12,14100.68,14124.49,5000.25,5006.35,5015.22,5022.33,12548.84,18983.26,19100.87,19124.61
async,75,2,6,23.0,21.741,500,0,247856,228130,24.5,173.9,2682.49,8595.16,8744.94,8815.61,5000.13,5001.13,5002.95,5014.0,7682.7,13595.23,13744.99,13815.72
async,100,2,6,29.63,16.875,500,0,268752,231540,35.9,164.1,1484.05,3829.68,3938.19,4066.24,5000.11,5000.75,5002.28,5008.71,6484.1,8829.93,8939.53,9066.38
async,150,2,6,34.19,14.625,500,0,273900,235821,54.6,182.3,32.0,652.15,878.43,1017.63,5000.11,5000.72,5001.15,5014.18,5032.2,5652.43,5892.61,6017.88
async,200,2,6,34.32,14.567,500,0,271448,236099,59.2,186.8,30.66,713.88,943.82,1057.4,5000.11,5000.75,5001.8,5015.45,5030.86,5715.39,5944.28,6058.34
async,10,4,8,7.51,66.541,500,0,440388,425581,13.0,371.4,25987.78,47577.34,51868.09,51895.09,5000.14,5003.14,5006.81,5016.22,30987.82,52578.41,56868.46,56895.23
async,25,4,8,18.6,26.887,500,0,444268,421478,20.7,361.3,6837.99,13692.91,13824.81,13887.0,5000.12,5001.4,5006.04,5013.98,11838.16,18692.97,18824.9,18887.14
