mode,capacity,processes,db_pool,jobs_per_second,wall_time_s,completed_jobs,failed_jobs,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
thread,10,4,15,2.77,72.281,200,0,492908,475035,395.2,437.1,25373.32,52631.61,55343.68,56783.4,12154.29,12764.72,12966.23,12975.49,37419.61,64489.69,66308.82,67252.38
async,10,2,6,2.47,81.136,200,0,233364,227275,196.0,222.0,36425.58,68291.81,69102.44,69582.28,7479.64,7881.49,7999.8,8130.17,43819.52,75924.68,77022.59,77273.53
async,25,2,6,2.38,84.165,200,0,233828,226813,196.0,222.5,35184.46,64925.69,68954.05,69239.51,15850.41,18439.7,18486.44,18504.85,49572.87,77288.37,79518.4,80044.34
async,50,2,6,2.28,87.541,200,0,237812,227870,195.9,221.0,32495.52,62320.85,66739.43,67283.78,30284.03,37746.8,37828.86,37867.01,61241.22,81512.98,83210.19,83610.5
async,75,2,6,2.3,87.036,200,0,236860,228076,196.0,221.9,2314.35,54597.27,55910.12,56454.56,46840.05,53846.54,53971.39,54022.56,54667.95,82113.54,82813.97,83232.14
async,100,2,6,2.22,91.535,200,0,315172,280912,195.0,224.1,3298.69,54848.71,60253.94,60308.13,58162.88,65246.58,65358.17,65431.78,66051.71,83789.87,85835.24,85994.04
async,150,2,6,2.27,88.23,200,0,310044,279989,194.8,222.7,1789.09,13599.07,15559.33,17655.0,72222.73,80335.31,80494.16,80619.95,80128.87,83839.58,84510.38,84666.49
async,200,2,6,2.2,90.724,200,0,311556,288861,193.9,221.6,1753.24,7090.95,8898.52,10998.25,79044.59,81779.7,82227.08,82287.88,81360.5,85432.95,85699.72,86574.33
async,10,4,8,3.5,57.072,200,0,460900,444672,387.2,426.8,19084.16,39502.43,41158.32,42385.76,9534.24,10203.2,10371.1,10425.48,28461.42,49172.47,51065.08,52764.71
async,25,4,8,3.38,59.228,200,0,458184,446201,388.4,427.2,20464.89,38665.8,41274.83,41900.37,19281.78,24786.72,24895.3,25268.9,38534.28,52771.79,54474.94,54717.6
async,50,4,8,3.32,60.33,200,0,465360,449972,386.3,429.3,1032.91,34657.23,36494.19,36943.91,34468.74,48844.12,48955.38,49013.31,44853.13,54267.04,55704.14,55924.49
async,75,4,8,2.98,67.111,200,0,471384,454628,378.1,429.6,890.49,10807.29,13193.56,13360.53,44162.69,61990.89,62134.87,62185.85,48234.07,62640.46,62897.44,63102.3
async,100,4,8,2.66,75.072,200,0,507592,487367,370.9,432.7,864.76,6238.7,6510.72,7412.11,45648.52,70706.25,70795.02,70977.66,48073.73,71525.91,71609.38,71766.84
async,150,4,8,2.67,74.944,200,0,623052,571393,370.3,427.8,768.88,2928.81,3227.77,3277.58,52227.4,70943.58,71016.29,71082.98,53451.82,71643.58,71774.18,71844.23
async,200,4,8,2.64,75.637,200,0,633708,580072,368.5,429.0,967.99,2365.7,2553.23,3212.58,57375.17,69346.93,69600.7,69776.78,57777.03,71231.49,71488.93,71624.83
