mode,capacity,processes,db_pool,jobs_per_second,wall_time_s,completed_jobs,failed_jobs,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
thread,5,1,10,43.89,11.393,500,0,100584,91131,66.1,98.8,50.32,975.79,998.59,1103.73,50.2,51.26,53.53,71.9,100.78,1025.93,1050.56,1175.63
thread,10,1,15,45.7,10.94,500,0,105384,90563,63.9,103.3,38.36,1310.36,1484.49,1533.13,50.21,51.51,71.94,76.57,88.86,1360.74,1537.31,1609.7
thread,25,1,30,50.16,9.969,500,0,108052,96573,65.3,107.2,36.83,912.89,1101.57,1169.33,50.23,52.69,71.16,77.47,87.1,968.7,1169.42,1245.07
thread,50,1,55,45.93,10.886,500,0,120140,105260,64.3,107.3,37.87,1118.59,1502.12,1565.6,50.21,52.0,61.8,88.1,88.1,1168.76,1554.01,1615.84
thread,75,1,80,44.34,11.275,500,0,130576,114378,70.3,116.4,44.22,1540.73,1859.8,1948.94,50.4,52.87,71.41,95.73,94.4,1591.0,1910.68,1999.2
thread,5,2,10,41.98,11.911,500,0,203048,182369,89.2,192.1,37.29,997.29,1098.09,1190.37,50.19,51.41,70.14,81.87,87.6,1047.4,1155.7,1272.24
thread,10,2,15,43.84,11.404,500,0,209952,190096,85.4,190.4,34.46,772.0,1004.44,1090.01,50.17,51.64,64.25,66.63,84.75,822.78,1067.68,1155.19
thread,25,2,30,39.48,12.664,500,0,215540,183407,89.1,211.8,37.61,1647.32,2230.82,2381.07,50.21,72.91,153.9,181.19,87.88,1700.35,2329.92,2480.19
thread,50,2,55,41.52,12.043,500,0,223788,201060,88.3,223.9,37.29,1151.99,1415.26,1493.47,50.21,51.68,96.72,140.59,87.61,1202.92,1508.45,1555.85
thread,75,2,80,41.89,11.935,500,0,226708,198428,87.3,213.3,36.1,1517.99,1948.11,2070.76,50.19,58.31,87.27,103.26,86.39,1568.46,2011.08,2132.34
thread,5,4,10,40.08,12.475,500,0,406416,350378,116.7,411.5,33.27,1262.85,1586.41,1740.49,50.18,52.43,74.45,78.0,83.71,1315.56,1664.41,1808.87
thread,10,4,15,38.9,12.853,500,0,415968,379879,121.3,410.3,36.25,722.43,1108.04,1195.55,50.19,66.31,71.86,74.93,86.39,793.82,1178.34,1270.48
thread,25,4,30,44.25,11.3,500,0,425828,366639,115.8,400.8,31.65,1190.77,1606.88,1830.75,50.17,79.31,105.88,114.9,81.82,1255.44,1698.43,1885.12
thread,50,4,55,45.59,10.967,500,0,425368,377994,113.7,404.9,31.59,1047.69,1426.58,1509.41,50.16,57.86,82.39,93.16,81.78,1098.52,1477.86,1560.66
thread,75,4,80,34.91,14.322,500,0,421552,368795,129.6,402.7,41.06,1984.54,2453.05,2555.61,50.22,55.31,103.32,118.08,91.38,2048.06,2503.51,2607.89
async,5,1,5,45.8,10.917,500,0,97828,88284,58.8,107.9,38.59,1064.09,1110.7,1117.52,50.14,51.32,52.24,64.7,89.0,1114.55,1160.76,1168.44
async,10,1,5,48.07,10.402,500,0,98088,88020,58.2,107.2,33.87,955.14,1048.53,1114.27,50.13,51.46,52.43,58.5,84.24,1005.37,1098.98,1172.77
async,25,1,5,50.3,9.94,500,0,99856,90239,55.8,96.9,32.82,734.09,975.82,1051.17,50.12,51.67,53.06,59.04,83.03,785.4,1026.03,1102.83
async,50,1,5,49.52,10.096,500,0,100668,90977,57.6,108.9,33.34,683.62,1040.68,1155.24,50.12,51.2,52.31,69.82,83.72,733.78,1090.76,1205.31
async,75,1,5,52.23,9.572,500,0,100504,89361,54.5,107.9,30.78,690.16,1065.26,1188.21,50.11,51.37,54.19,63.27,80.88,740.6,1115.35,1238.46
async,5,2,6,45.74,10.931,500,0,196672,177287,78.8,182.4,34.34,911.1,1042.41,1106.93,50.12,51.02,52.49,72.36,84.5,961.23,1098.44,1174.03
async,10,2,6,47.63,10.498,500,0,197396,175308,76.5,194.5,31.8,961.58,1205.19,1273.43,50.12,51.32,52.5,64.8,82.02,1011.66,1257.92,1324.8
async,25,2,6,46.22,10.818,500,0,198640,179048,76.6,194.6,32.51,738.82,1106.37,1220.89,50.12,51.02,52.78,63.02,82.68,789.36,1156.45,1271.61
async,50,2,6,48.31,10.349,500,0,198784,178164,75.9,205.0,31.46,861.97,1187.23,1270.98,50.12,51.02,52.81,68.52,81.66,912.25,1237.75,1321.24
async,75,2,6,48.78,10.25,500,0,198388,179638,74.5,187.2,31.01,763.19,1042.14,1163.33,50.12,50.99,53.66,71.89,81.15,813.27,1092.31,1217.61
async,5,4,8,46.45,10.764,500,0,393876,358008,105.4,411.6,29.99,661.8,952.59,1047.21,50.12,50.83,53.15,80.03,80.23,712.26,1002.79,1105.96
async,10,4,8,45.33,11.03,500,0,391892,357312,108.7,362.6,31.14,695.97,1002.24,1092.18,50.13,51.15,52.11,66.41,81.29,747.26,1053.47,1142.33
async,25,4,8,47.33,10.564,500,0,393516,349961,107.6,399.6,29.68,895.35,1179.68,1267.85,50.12,51.09,60.67,121.1,79.81,946.71,1230.01,1318.52
async,50,4,8,48.61,10.286,500,0,392232,353564,105.6,392.6,29.17,848.04,1078.92,1151.61,50.12,50.7,57.51,136.46,79.32,898.26,1129.6,1202.57
async,75,4,8,47.42,10.544,500,0,391868,350719,105.4,407.5,30.13,718.83,1077.09,1141.7,50.13,50.93,55.38,68.85,80.29,769.51,1127.28,1191.83
