backend,mode,workload,jobs,concurrency,processes,db_pool,jobs_per_second,finished_jobs_per_second,drain_jobs_per_second,execution_jobs_per_second,wall_time_s,enqueue_time_s,drain_time_s,execution_window_s,completed_jobs,successful_jobs,finished_jobs,failed_jobs,child_jobs_enqueued,child_jobs_finished,child_jobs_failed,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
solid_queue,thread,async_http,500,25,2,30,132.0,132.0,137.85,143.1,3.788,0.161,3.627,3.494,500,500,500,0,0,0,0,280108,270661,94.2,208.0,1875.69,3301.49,3521.37,3530.94,250.93,252.14,254.0,258.68,2126.95,3552.46,3772.25,3782.15
solid_queue,thread,async_http,500,100,2,105,33.81,71.93,34.56,36.73,6.951,0.151,6.8,6.398,235,235,500,265,0,0,0,310336,190139,0.8,227.3,3252.96,5055.49,5063.73,5065.6,251.91,263.64,274.67,275.44,3505.55,5306.43,5316.58,5318.67
solid_queue,thread,async_http,500,150,2,155,16.55,67.85,16.88,18.6,7.37,0.14,7.23,6.561,122,122,500,378,0,0,0,343520,205022,10.2,227.1,4713.64,4782.83,4786.79,4787.73,252.11,257.85,261.02,262.22,4967.96,5036.97,5039.05,5040.17
solid_queue,thread,async_http,500,200,2,205,12.03,74.25,12.28,13.96,6.734,0.136,6.598,5.804,81,81,500,419,0,0,0,348936,231260,7.1,237.7,1219.56,3497.22,3499.59,3500.08,251.27,252.99,253.52,253.84,1470.17,3748.67,3751.54,3752.02
solid_queue,thread,async_http,500,25,6,30,82.75,102.41,85.5,87.54,4.882,0.157,4.725,4.615,404,404,500,96,0,0,0,779968,560125,45.9,487.2,3347.42,4432.53,4507.6,4510.95,251.36,256.4,259.78,262.57,3600.08,4683.19,4758.39,4761.53
solid_queue,thread,async_http,500,50,6,55,51.87,98.61,53.36,54.94,5.07,0.141,4.929,4.787,263,263,500,237,0,0,0,794596,497199,29.4,471.8,3843.75,4782.71,4802.02,4811.57,251.41,257.53,260.05,263.22,4098.76,5035.11,5052.97,5063.81
solid_queue,thread,async_http,500,150,6,155,9.13,59.27,9.29,9.75,8.435,0.144,8.292,7.898,77,77,500,423,0,0,0,809428,613975,19.6,384.5,683.36,5731.24,5733.38,5742.32,252.07,256.36,258.69,259.13,936.3,5982.55,5984.91,5993.46
solid_queue,thread,async_http,500,200,6,205,18.41,62.19,18.71,20.43,8.04,0.13,7.909,7.243,148,148,500,352,0,0,0,821448,509892,6.8,330.9,3940.92,6174.04,6178.8,6179.3,251.51,255.22,258.01,261.5,4191.93,6425.54,6429.93,6430.59
solid_queue,fiber,async_http,500,25,2,6,143.06,143.06,148.82,150.46,3.495,0.135,3.36,3.323,500,500,500,0,0,0,0,278920,271067,80.6,158.9,1596.66,2989.48,3213.21,3239.17,250.73,252.23,253.26,264.21,1847.52,3240.97,3463.67,3489.71
solid_queue,fiber,async_http,500,50,2,6,222.82,222.82,236.69,241.44,2.244,0.131,2.112,2.071,500,500,500,0,0,0,0,280256,269658,108.0,188.3,1138.03,1969.8,1982.98,1987.3,250.95,257.7,260.13,260.73,1389.06,2220.57,2233.66,2238.1
solid_queue,fiber,async_http,500,100,2,6,281.46,281.46,305.11,311.61,1.776,0.138,1.639,1.605,500,500,500,0,0,0,0,289296,275785,128.7,198.1,847.49,1499.3,1517.09,1520.05,251.27,254.21,258.96,260.34,1099.31,1749.95,1767.73,1770.69
solid_queue,fiber,async_http,500,150,2,6,361.7,361.7,400.7,412.98,1.382,0.135,1.248,1.211,500,500,500,0,0,0,0,287900,272472,145.9,198.1,432.14,1113.41,1124.42,1126.45,251.06,254.88,258.95,267.39,682.74,1364.27,1375.01,1377.02
solid_queue,fiber,async_http,500,200,2,6,319.88,319.88,348.26,359.47,1.563,0.127,1.436,1.391,500,500,500,0,0,0,0,289488,274732,138.6,188.2,497.26,1292.39,1304.81,1306.86,251.17,256.77,263.28,266.97,750.36,1543.5,1555.49,1557.83
solid_queue,fiber,async_http,500,25,6,10,321.18,321.18,352.05,364.22,1.557,0.136,1.42,1.373,500,500,500,0,0,0,0,823352,775586,252.8,568.8,633.1,1138.68,1274.78,1299.24,251.31,262.02,263.81,265.88,884.4,1389.27,1525.59,1551.06
solid_queue,fiber,async_http,500,50,6,10,463.76,463.76,531.0,566.62,1.078,0.137,0.942,0.882,500,500,500,0,0,0,0,823776,772180,315.6,602.9,300.71,802.45,816.45,821.03,252.44,264.33,272.3,276.38,564.24,1053.96,1067.71,1072.81
solid_queue,fiber,async_http,500,100,6,10,751.14,751.14,948.4,1051.34,0.666,0.138,0.527,0.476,500,500,500,0,0,0,0,804328,746584,338.4,503.5,328.22,396.76,403.66,409.29,252.76,262.53,265.12,269.12,589.41,649.52,657.39,660.05
solid_queue,fiber,async_http,500,150,6,10,628.69,628.69,763.25,825.8,0.795,0.14,0.655,0.605,500,500,500,0,0,0,0,781432,740450,309.6,415.0,386.82,509.43,524.36,538.72,251.47,256.84,261.26,271.62,643.78,761.52,775.16,789.76
solid_queue,fiber,async_http,500,200,6,10,565.99,565.99,674.02,718.88,0.883,0.142,0.742,0.696,500,500,500,0,0,0,0,757060,724930,251.4,326.3,402.67,596.88,621.07,626.91,251.26,256.81,260.18,267.42,661.47,847.53,872.17,877.84
