backend,mode,workload,jobs,concurrency,processes,db_pool,jobs_per_second,finished_jobs_per_second,drain_jobs_per_second,execution_jobs_per_second,wall_time_s,enqueue_time_s,drain_time_s,execution_window_s,completed_jobs,successful_jobs,finished_jobs,failed_jobs,child_jobs_enqueued,child_jobs_finished,child_jobs_failed,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
solid_queue,thread,ruby_llm_stream,240,25,2,30,3.06,3.06,3.07,3.07,78.361,0.089,78.271,78.109,240,240,240,0,9600,9600,0,348888,321540,206.0,228.2,16673.05,33219.62,33654.51,33719.68,7900.25,8402.33,8629.02,8798.13,63534.0,78169.28,78349.87,78352.26
solid_queue,fiber,ruby_llm_stream,240,25,2,6,3.31,3.31,3.31,3.32,72.532,0.089,72.443,72.395,240,240,240,0,9600,9600,0,293384,287322,173.3,218.3,14283.4,29558.02,29708.67,29848.48,6995.78,7316.96,7367.17,7402.61,58352.59,72437.1,72521.81,72523.58
solid_queue,fiber,ruby_llm_stream,240,50,2,6,3.28,3.28,3.29,3.29,73.081,0.091,72.99,72.923,240,240,240,0,9600,9600,0,334352,325541,171.0,217.9,14479.39,29797.18,29808.52,29860.67,14109.56,15368.99,15521.13,15569.64,66103.05,72933.2,73059.46,73071.91
solid_queue,fiber,ruby_llm_stream,240,100,2,6,3.29,3.29,3.29,3.3,72.958,0.091,72.868,72.822,240,240,240,0,9600,9600,0,393216,373309,167.1,218.5,260.55,29067.67,29088.86,29135.17,27902.12,28652.56,28767.3,28838.82,66075.46,72859.88,72947.83,72949.63
solid_queue,fiber,ruby_llm_stream,240,150,2,6,3.24,3.24,3.24,3.25,74.069,0.096,73.973,73.916,240,240,240,0,9600,9600,0,467332,411168,164.7,218.1,292.34,375.74,419.4,441.48,44882.63,46118.9,46300.76,46392.86,73398.21,73989.87,74058.68,74060.61
solid_queue,fiber,ruby_llm_stream,240,200,2,6,3.2,3.2,3.21,3.21,74.908,0.1,74.807,74.724,240,240,240,0,9600,9600,0,432732,389527,158.4,217.8,292.3,508.7,514.48,561.37,63783.57,65317.5,65432.94,65475.16,74437.84,74545.77,74889.12,74898.75
solid_queue,fiber,ruby_llm_stream,240,25,6,10,8.57,8.57,8.6,8.62,28.006,0.095,27.912,27.85,240,240,240,0,9600,9600,0,875156,854888,590.7,642.3,221.13,9219.37,9243.37,9247.81,8594.56,8937.83,8992.97,9094.0,23063.32,27976.22,27995.81,27997.8
solid_queue,fiber,ruby_llm_stream,240,50,6,10,8.79,8.79,8.82,8.84,27.3,0.093,27.207,27.136,240,240,240,0,9600,9600,0,929248,903010,583.5,632.9,215.87,256.29,311.77,335.67,18340.75,18953.09,19117.22,19224.2,26959.8,27225.04,27257.7,27290.36
solid_queue,fiber,ruby_llm_stream,240,100,6,10,6.76,6.76,6.78,6.79,35.498,0.092,35.406,35.35,240,240,240,0,9600,9600,0,904800,889370,465.3,622.2,292.22,398.22,416.08,428.09,34274.51,34941.33,35065.42,35091.26,34545.18,35203.74,35378.16,35489.06
solid_queue,fiber,ruby_llm_stream,240,150,6,10,4.97,4.97,4.98,4.99,48.272,0.096,48.175,48.125,240,240,240,0,9600,9600,0,896600,885416,347.2,524.2,324.54,530.98,550.01,555.16,46455.08,47408.86,47561.91,47709.22,46742.24,47934.19,48095.59,48262.62
solid_queue,fiber,ruby_llm_stream,240,200,6,10,3.77,3.77,3.78,3.78,63.653,0.094,63.559,63.511,240,240,240,0,9600,9600,0,912336,898234,276.7,543.3,435.95,684.16,700.89,728.31,61721.58,62697.94,62859.93,62946.95,62180.77,63362.96,63497.03,63643.74
