backend,mode,workload,jobs,concurrency,processes,db_pool,jobs_per_second,finished_jobs_per_second,drain_jobs_per_second,execution_jobs_per_second,wall_time_s,enqueue_time_s,drain_time_s,execution_window_s,completed_jobs,successful_jobs,finished_jobs,failed_jobs,child_jobs_enqueued,child_jobs_finished,child_jobs_failed,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
solid_queue,thread,sleep,500,25,2,30,133.98,133.98,138.83,145.12,3.732,0.13,3.602,3.446,500,500,500,0,0,0,0,277832,269947,88.1,188.3,1824.63,3259.96,3446.66,3476.09,250.15,250.67,251.0,252.75,2074.75,3510.2,3696.91,3726.23
solid_queue,thread,sleep,500,50,2,55,74.73,79.67,76.36,79.64,6.276,0.134,6.142,5.889,469,469,500,31,0,0,0,284080,186109,31.1,217.6,3241.95,4571.64,4625.35,4627.04,250.24,250.69,250.94,252.18,3492.05,4821.73,4875.47,4877.43
solid_queue,thread,sleep,500,100,2,105,43.36,76.08,44.25,47.31,6.572,0.131,6.441,6.024,285,285,500,215,0,0,0,307476,203442,10.2,237.2,1945.02,4242.27,4246.65,4248.18,250.46,253.22,254.29,254.99,2195.48,4492.58,4497.13,4498.63
solid_queue,thread,sleep,500,150,2,155,7.89,45.34,7.98,8.42,11.027,0.13,10.897,10.332,87,87,500,413,0,0,0,326788,208897,1.8,247.3,967.55,8870.96,8872.34,8872.62,250.33,251.95,252.36,252.85,1217.66,9121.58,9123.04,9123.26
solid_queue,thread,sleep,500,200,2,205,10.89,57.34,11.1,12.62,8.72,0.164,8.556,7.529,95,95,500,405,0,0,0,331560,231561,6.2,226.6,1232.05,5528.36,5534.07,5535.48,250.37,251.01,252.42,252.87,1482.58,5779.43,5784.38,5785.73
solid_queue,thread,sleep,500,25,6,30,89.41,108.25,93.48,96.29,4.619,0.201,4.418,4.289,413,413,500,87,0,0,0,779044,543816,50.0,444.2,2712.72,3433.9,3453.2,3454.5,250.24,251.17,251.71,253.41,2962.98,3684.38,3703.36,3705.11
solid_queue,thread,sleep,500,50,6,55,48.72,77.09,49.78,51.2,6.486,0.138,6.348,6.172,316,316,500,184,0,0,0,784072,422786,23.8,444.2,4191.82,5238.19,5244.12,5245.04,250.31,251.01,251.89,258.14,4441.91,5488.65,5494.95,5496.12
solid_queue,thread,sleep,500,100,6,105,57.39,72.65,58.61,169.5,6.883,0.143,6.74,2.33,395,395,500,105,0,0,0,810656,528095,36.9,404.1,5400.09,6582.98,6607.3,6626.32,250.28,250.83,252.71,259.09,5650.47,6833.65,6857.43,6877.34
solid_queue,thread,sleep,500,150,6,155,10.95,60.84,11.13,11.81,8.219,0.134,8.085,7.621,90,90,500,410,0,0,0,795844,598653,12.6,373.4,695.85,5600.8,5602.29,5602.7,252.11,254.22,254.92,254.98,947.43,5853.36,5854.28,5854.58
solid_queue,thread,sleep,500,200,6,205,12.12,48.87,12.29,13.18,10.231,0.142,10.089,9.407,124,124,500,376,0,0,0,818396,444683,0.3,334.2,8639.2,8754.36,8759.69,8767.93,250.27,252.4,253.18,253.37,8889.28,9004.63,9010.54,9019.01
solid_queue,fiber,sleep,500,25,2,6,145.13,145.13,151.03,152.97,3.445,0.135,3.311,3.269,500,500,500,0,0,0,0,276232,268726,75.8,198.1,1554.69,3082.88,3186.58,3189.3,250.09,250.57,251.16,253.22,1805.29,3332.92,3436.82,3439.43
solid_queue,fiber,sleep,500,50,2,6,231.34,231.34,247.19,252.06,2.161,0.139,2.023,1.984,500,500,500,0,0,0,0,278740,268061,102.8,198.3,1075.14,1893.05,1903.71,1905.74,250.11,250.47,250.73,251.0,1325.64,2143.45,2153.92,2155.76
solid_queue,fiber,sleep,500,100,2,6,289.21,289.21,313.51,320.54,1.729,0.134,1.595,1.56,500,500,500,0,0,0,0,283288,270438,127.6,195.6,860.55,1453.18,1470.69,1473.59,250.2,251.02,252.08,259.46,1111.35,1703.35,1720.88,1723.62
solid_queue,fiber,sleep,500,150,2,6,367.74,367.74,407.28,421.17,1.36,0.132,1.228,1.187,500,500,500,0,0,0,0,282400,268207,146.4,207.3,370.45,1089.52,1102.09,1104.2,250.17,251.09,255.9,258.97,620.6,1339.56,1353.11,1354.33
solid_queue,fiber,sleep,500,200,2,6,351.6,351.6,396.56,409.29,1.422,0.161,1.261,1.222,500,500,500,0,0,0,0,280812,267524,139.4,208.2,459.68,1150.22,1164.2,1166.79,250.13,251.08,254.48,259.51,709.71,1400.68,1414.32,1416.82
solid_queue,fiber,sleep,500,25,6,10,329.34,329.34,365.47,378.99,1.518,0.15,1.368,1.319,500,500,500,0,0,0,0,821444,774090,238.3,589.9,627.27,1160.56,1227.91,1263.01,250.12,250.78,251.49,257.78,877.58,1410.59,1477.95,1513.04
solid_queue,fiber,sleep,500,50,6,10,470.59,470.59,546.35,582.51,1.062,0.147,0.915,0.858,500,500,500,0,0,0,0,823804,764270,291.3,592.2,287.87,793.22,800.23,805.26,250.19,250.8,252.71,258.3,538.11,1043.44,1057.0,1057.06
solid_queue,fiber,sleep,500,100,6,10,800.72,800.72,1042.13,1167.47,0.624,0.145,0.48,0.428,500,500,500,0,0,0,0,793808,742940,333.9,504.0,323.53,361.46,364.31,369.16,250.29,251.29,251.99,253.79,574.04,611.77,615.87,619.23
solid_queue,fiber,sleep,500,150,6,10,696.88,696.88,883.15,962.58,0.717,0.151,0.566,0.519,500,500,500,0,0,0,0,772140,732506,303.0,434.8,383.33,444.15,453.98,461.93,250.21,251.44,254.83,260.73,633.49,694.71,704.28,712.08
solid_queue,fiber,sleep,500,200,6,10,608.94,608.94,752.86,814.14,0.821,0.157,0.664,0.614,500,500,500,0,0,0,0,748936,720249,253.8,336.7,385.45,537.33,545.19,565.65,250.2,251.71,256.24,260.82,636.71,787.52,795.48,815.96
