backend,mode,workload,jobs,concurrency,processes,db_pool,jobs_per_second,finished_jobs_per_second,drain_jobs_per_second,execution_jobs_per_second,wall_time_s,enqueue_time_s,drain_time_s,execution_window_s,completed_jobs,successful_jobs,finished_jobs,failed_jobs,child_jobs_enqueued,child_jobs_finished,child_jobs_failed,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
solid_queue,thread,async_http,1000,5,1,10,71.7,71.7,72.94,73.2,13.948,0.238,13.709,13.662,1000,1000,1000,0,0,0,0,139704,138038,40.2,69.4,7098.67,13210.03,13758.58,13892.31,50.45,51.0,51.74,55.09,7149.08,13260.49,13809.36,13942.71
solid_queue,thread,async_http,1000,10,1,15,99.03,99.03,101.79,102.54,10.098,0.274,9.824,9.752,1000,1000,1000,0,0,0,0,141716,139423,59.3,89.3,5231.93,9580.53,9930.79,10040.54,50.64,51.49,52.46,56.25,5282.97,9631.08,9981.48,10092.08
solid_queue,thread,async_http,1000,25,1,30,160.15,160.15,166.51,170.05,6.244,0.238,6.006,5.881,1000,1000,1000,0,0,0,0,142764,138958,96.5,109.3,3295.19,5934.91,6166.81,6186.47,50.96,51.76,52.76,64.79,3346.17,5988.17,6217.67,6237.71
solid_queue,thread,async_http,1000,50,1,55,164.69,164.69,172.07,178.93,6.072,0.26,5.811,5.589,1000,1000,1000,0,0,0,0,144856,140213,99.6,118.9,3199.44,5701.22,5932.37,6015.98,51.06,52.75,55.09,70.44,3250.23,5751.94,5983.76,6066.54
solid_queue,thread,async_http,1000,5,2,10,129.09,129.09,133.35,134.1,7.747,0.247,7.499,7.457,1000,1000,1000,0,0,0,0,277836,272390,84.1,138.7,4051.0,7325.99,7618.58,7690.47,50.54,51.13,52.06,66.97,4101.47,7376.44,7669.25,7741.03
solid_queue,thread,async_http,1000,10,2,15,181.49,181.49,192.13,193.42,5.51,0.305,5.205,5.17,1000,1000,1000,0,0,0,0,281848,274619,120.8,157.9,2884.2,5202.91,5369.27,5452.76,50.7,51.5,52.37,66.36,2934.8,5253.5,5419.92,5504.05
solid_queue,thread,async_http,1000,25,2,30,278.2,278.2,298.04,309.41,3.594,0.239,3.355,3.232,1000,1000,1000,0,0,0,0,282084,271968,185.8,217.9,1996.63,3385.65,3528.11,3537.71,51.1,52.25,54.06,65.87,2047.45,3436.66,3578.93,3588.52
solid_queue,thread,async_http,1000,5,6,10,335.19,335.19,364.49,372.02,2.983,0.24,2.744,2.688,1000,1000,1000,0,0,0,0,824536,795401,270.9,425.0,1642.62,2797.77,2891.93,2927.36,50.74,51.82,60.39,76.12,1693.2,2848.45,2942.47,2977.93
solid_queue,thread,async_http,1000,10,6,15,441.35,441.35,502.08,528.19,2.266,0.274,1.992,1.893,1000,1000,1000,0,0,0,0,837308,794086,356.4,492.8,1310.76,2131.13,2170.48,2205.97,50.88,52.18,61.78,70.17,1361.38,2182.52,2221.65,2256.98
solid_queue,fiber,async_http,1000,5,1,5,67.15,67.15,68.21,68.32,14.892,0.231,14.661,14.637,1000,1000,1000,0,0,0,0,139796,138176,37.8,69.4,7606.56,14120.06,14693.29,14836.56,50.51,51.32,51.82,53.88,7656.9,14171.17,14743.72,14887.0
solid_queue,fiber,async_http,1000,10,1,5,108.01,108.01,110.91,111.15,9.259,0.242,9.017,8.997,1000,1000,1000,0,0,0,0,138548,137077,56.7,79.2,4772.06,8792.84,9116.75,9201.54,50.54,51.49,52.68,62.58,4823.2,8843.33,9167.13,9253.68
solid_queue,fiber,async_http,1000,25,1,5,172.28,172.28,180.21,180.97,5.805,0.256,5.549,5.526,1000,1000,1000,0,0,0,0,139956,137756,76.6,99.2,2972.76,5455.58,5738.77,5748.92,50.73,51.73,52.74,53.77,3023.42,5506.06,5789.24,5799.25
solid_queue,fiber,async_http,1000,50,1,5,201.21,201.21,212.09,213.18,4.97,0.255,4.715,4.691,1000,1000,1000,0,0,0,0,142964,139524,81.2,99.3,2697.2,4676.78,4905.35,4912.61,50.79,51.97,53.3,60.59,2747.95,4727.36,4956.36,4964.05
