backend,mode,workload,jobs,concurrency,processes,db_pool,jobs_per_second,finished_jobs_per_second,drain_jobs_per_second,execution_jobs_per_second,wall_time_s,enqueue_time_s,drain_time_s,execution_window_s,completed_jobs,successful_jobs,finished_jobs,failed_jobs,child_jobs_enqueued,child_jobs_finished,child_jobs_failed,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
solid_queue,thread,cpu,500,5,1,10,23.34,23.34,23.52,23.58,21.427,0.167,21.259,21.205,500,500,500,0,0,0,0,139244,136775,97.4,109.3,10826.37,20337.03,21174.28,21386.15,35.39,36.96,38.17,63.03,10862.26,20372.16,21210.37,21420.32
solid_queue,thread,cpu,500,10,1,15,23.71,23.71,23.87,23.96,21.088,0.139,20.949,20.868,500,500,500,0,0,0,0,163748,158233,99.3,109.3,10688.45,20003.15,20842.98,21048.02,35.67,37.42,38.51,78.83,10724.52,20038.33,20878.0,21082.94
solid_queue,thread,cpu,500,25,1,30,23.72,23.72,23.88,24.05,21.08,0.143,20.936,20.789,500,500,500,0,0,0,0,226312,206291,99.5,109.3,10667.98,20008.3,20837.49,21037.33,35.84,37.82,39.43,76.22,10702.97,20045.09,20874.49,21073.5
solid_queue,thread,cpu,500,50,1,55,23.45,23.45,23.59,23.87,21.325,0.131,21.193,20.948,500,500,500,0,0,0,0,299376,268222,99.5,109.2,10854.6,20263.45,21086.72,21282.01,36.51,38.36,41.14,68.33,10891.35,20297.79,21121.19,21319.25
solid_queue,thread,cpu,500,5,2,10,43.69,43.69,44.21,44.42,11.443,0.133,11.31,11.255,500,500,500,0,0,0,0,274272,271504,194.3,218.0,5763.19,10815.93,11265.08,11401.66,37.25,39.7,44.04,66.65,5800.71,10853.04,11302.86,11437.45
solid_queue,thread,cpu,500,10,2,15,44.14,44.14,44.67,44.97,11.328,0.134,11.194,11.118,500,500,500,0,0,0,0,316284,309185,197.0,217.9,5715.15,10674.56,11122.47,11286.87,37.58,40.39,44.63,81.93,5751.24,10713.63,11186.63,11322.5
solid_queue,thread,cpu,500,25,2,30,43.91,43.91,44.44,44.97,11.387,0.136,11.252,11.118,500,500,500,0,0,0,0,425396,390287,197.0,208.6,5750.58,10773.46,11204.85,11345.66,37.99,41.16,44.27,78.68,5787.49,10810.63,11242.53,11381.41
solid_queue,thread,cpu,500,5,6,10,107.97,107.97,111.54,113.18,4.631,0.148,4.483,4.418,500,500,500,0,0,0,0,818720,803999,573.3,622.0,2371.83,4364.05,4528.5,4581.56,42.87,56.75,67.49,74.73,2427.07,4406.77,4566.87,4623.4
solid_queue,thread,cpu,500,10,6,15,107.77,107.77,111.23,114.05,4.64,0.144,4.495,4.384,500,500,500,0,0,0,0,933732,899055,573.1,629.9,2368.44,4307.01,4510.11,4594.13,42.66,56.61,81.84,86.07,2410.76,4351.42,4549.05,4632.4
solid_queue,fiber,cpu,500,5,1,5,22.87,22.87,23.01,23.05,21.861,0.135,21.726,21.689,500,500,500,0,0,0,0,138824,130998,94.7,109.2,10930.86,20706.67,21594.12,21817.99,36.23,38.57,40.75,66.71,10966.2,20743.13,21631.96,21855.81
solid_queue,fiber,cpu,500,10,1,5,23.66,23.66,23.82,23.85,21.132,0.141,20.991,20.961,500,500,500,0,0,0,0,142168,132975,97.5,109.1,10553.67,20006.85,20867.54,21087.39,36.29,38.62,40.63,51.65,10588.17,20044.36,20905.28,21126.68
solid_queue,fiber,cpu,500,25,1,5,24.2,24.2,24.37,24.41,20.658,0.137,20.52,20.48,500,500,500,0,0,0,0,148052,137609,98.1,109.2,10323.77,19577.83,20421.66,20613.26,36.06,38.38,40.81,58.28,10359.0,19614.7,20458.97,20652.2
solid_queue,fiber,cpu,500,50,1,5,24.36,24.36,24.52,24.57,20.528,0.135,20.393,20.354,500,500,500,0,0,0,0,143060,133495,97.8,109.2,10278.6,19430.29,20240.93,20487.64,36.02,38.11,40.61,66.17,10314.01,19466.48,20276.9,20523.07
solid_queue,fiber,cpu,500,5,2,6,42.24,42.24,42.72,42.84,11.837,0.132,11.705,11.671,500,500,500,0,0,0,0,264124,253890,189.8,208.4,5921.81,11199.32,11674.35,11795.02,38.91,41.34,52.86,72.72,5961.32,11238.54,11711.96,11832.12
solid_queue,fiber,cpu,500,10,2,6,44.95,44.95,45.49,45.66,11.122,0.13,10.992,10.949,500,500,500,0,0,0,0,271056,257340,193.9,208.4,5616.0,10495.47,10926.48,11080.07,37.64,40.13,50.39,68.94,5654.53,10532.39,10963.09,11117.23
solid_queue,fiber,cpu,500,25,2,6,45.72,45.72,46.28,46.43,10.936,0.132,10.804,10.769,500,500,500,0,0,0,0,271520,260993,194.3,217.8,5456.9,10233.43,10702.33,10891.83,37.54,40.06,52.23,68.79,5494.89,10272.52,10740.15,10930.24
solid_queue,fiber,cpu,500,5,6,10,107.42,107.42,110.77,111.83,4.655,0.141,4.514,4.471,500,500,500,0,0,0,0,752636,734149,551.6,612.7,2373.21,4315.24,4484.54,4610.83,42.39,57.05,63.18,67.55,2415.25,4361.32,4527.87,4648.26
solid_queue,fiber,cpu,500,10,6,10,112.38,112.38,116.16,117.49,4.449,0.145,4.304,4.256,500,500,500,0,0,0,0,770888,745537,552.5,620.3,2214.75,4093.05,4304.15,4405.68,41.55,51.61,61.28,87.99,2262.08,4132.9,4343.31,4444.04
