backend,mode,workload,jobs,concurrency,processes,db_pool,jobs_per_second,finished_jobs_per_second,drain_jobs_per_second,execution_jobs_per_second,wall_time_s,enqueue_time_s,drain_time_s,execution_window_s,completed_jobs,successful_jobs,finished_jobs,failed_jobs,child_jobs_enqueued,child_jobs_finished,child_jobs_failed,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
solid_queue,thread,db_mixed,500,5,1,10,56.36,56.36,57.49,57.81,8.871,0.174,8.696,8.649,500,500,500,0,0,0,0,139488,137867,53.4,69.6,4535.72,8385.94,8721.85,8799.94,65.04,72.89,83.95,127.25,4599.45,8447.47,8785.28,8863.69
solid_queue,thread,db_mixed,500,10,1,15,76.79,76.79,78.39,79.34,6.512,0.133,6.379,6.302,500,500,500,0,0,0,0,141920,139360,78.9,109.2,3360.63,6117.37,6394.79,6441.33,78.47,97.04,104.63,120.02,3435.21,6196.96,6473.91,6505.92
solid_queue,thread,db_mixed,500,25,1,30,93.86,93.86,96.31,99.08,5.327,0.135,5.192,5.047,500,500,500,0,0,0,0,139840,137085,100.2,119.2,2750.54,4939.52,5184.12,5195.13,139.66,180.32,197.7,219.75,2871.73,5087.91,5280.83,5321.45
solid_queue,thread,db_mixed,500,50,1,55,90.99,90.99,93.21,97.34,5.495,0.131,5.364,5.136,500,500,500,0,0,0,0,142852,138763,100.3,119.1,2779.65,5081.29,5290.31,5320.34,279.04,381.9,443.47,506.32,3031.29,5347.62,5460.85,5489.73
solid_queue,thread,db_mixed,500,5,2,10,102.04,102.04,104.94,106.16,4.9,0.135,4.765,4.71,500,500,500,0,0,0,0,275448,270444,108.7,158.3,2550.3,4603.67,4790.95,4829.07,67.21,76.04,88.7,91.57,2621.05,4669.54,4858.64,4894.45
solid_queue,thread,db_mixed,500,10,2,15,138.47,138.47,143.71,147.31,3.611,0.132,3.479,3.394,500,500,500,0,0,0,0,281960,274638,157.3,208.5,1927.54,3389.48,3513.35,3537.38,82.39,104.08,111.73,128.01,2021.36,3469.21,3589.48,3605.23
solid_queue,thread,db_mixed,500,25,2,30,164.89,164.89,172.39,180.75,3.032,0.132,2.9,2.766,500,500,500,0,0,0,0,284528,274325,199.0,227.8,1573.61,2759.86,2904.06,2933.56,146.01,195.5,212.3,247.73,1717.77,2910.38,3011.08,3026.57
solid_queue,thread,db_mixed,500,5,6,10,255.4,255.4,275.88,285.21,1.958,0.145,1.812,1.753,500,500,500,0,0,0,0,830044,794398,340.6,514.6,1080.81,1802.76,1867.76,1881.3,69.11,87.55,93.87,111.48,1148.95,1870.37,1939.62,1950.66
solid_queue,thread,db_mixed,500,10,6,15,309.11,309.11,337.81,361.01,1.618,0.137,1.48,1.385,500,500,500,0,0,0,0,839272,795851,440.1,563.3,852.88,1454.85,1523.16,1529.41,92.86,121.65,128.9,142.38,945.3,1544.91,1601.74,1612.08
solid_queue,fiber,db_mixed,500,5,1,10,54.08,54.08,54.85,55.09,9.245,0.129,9.116,9.077,500,500,500,0,0,0,0,138604,137291,49.1,79.3,4728.28,8705.22,9081.75,9172.86,65.45,70.3,78.67,90.03,4794.46,8782.22,9146.67,9239.46
solid_queue,fiber,db_mixed,500,10,1,15,80.45,80.45,82.16,82.74,6.215,0.13,6.085,6.043,500,500,500,0,0,0,0,138340,136760,71.5,99.2,3249.83,5851.57,6106.64,6143.16,78.8,92.22,101.42,129.56,3325.35,5935.19,6181.12,6209.37
solid_queue,fiber,db_mixed,500,25,1,30,107.04,107.04,110.07,112.0,4.671,0.129,4.542,4.464,500,500,500,0,0,0,0,134840,132968,95.6,109.2,2424.37,4375.51,4515.63,4542.38,135.23,173.11,188.72,211.44,2607.9,4484.26,4634.95,4665.82
solid_queue,fiber,db_mixed,500,50,1,55,110.32,110.32,113.52,116.16,4.532,0.128,4.404,4.304,500,500,500,0,0,0,0,138592,134261,96.4,109.2,2136.93,4119.77,4273.38,4301.94,250.44,339.67,380.42,405.43,2442.54,4377.67,4477.84,4526.58
solid_queue,fiber,db_mixed,500,5,2,10,99.16,99.16,101.75,102.48,5.042,0.128,4.914,4.879,500,500,500,0,0,0,0,275772,271053,101.8,148.5,2610.98,4716.59,4912.93,4972.61,67.12,75.49,83.5,88.36,2683.01,4792.55,4982.62,5037.2
solid_queue,fiber,db_mixed,500,10,2,15,148.9,148.9,155.02,157.07,3.358,0.133,3.225,3.183,500,500,500,0,0,0,0,275280,269459,149.3,188.2,1733.36,3105.88,3240.97,3279.05,81.22,97.94,105.11,114.75,1815.26,3197.52,3331.21,3352.76
solid_queue,fiber,db_mixed,500,25,2,30,185.87,185.87,195.52,201.95,2.69,0.133,2.557,2.476,500,500,500,0,0,0,0,270280,264739,181.1,217.5,1320.13,2397.41,2566.28,2604.6,143.21,183.93,202.54,214.34,1463.5,2546.69,2673.95,2684.84
solid_queue,fiber,db_mixed,500,5,6,10,251.1,251.1,269.48,275.08,1.991,0.136,1.855,1.818,500,500,500,0,0,0,0,826960,792887,329.2,484.4,1075.15,1820.41,1899.48,1913.97,69.85,86.14,100.05,118.41,1143.29,1891.53,1970.01,1985.77
solid_queue,fiber,db_mixed,500,10,6,15,340.18,340.18,374.53,389.83,1.47,0.135,1.335,1.283,500,500,500,0,0,0,0,821776,783673,455.6,562.7,793.81,1329.88,1367.06,1376.23,89.98,117.74,129.7,142.0,873.87,1417.05,1446.41,1464.34
