backend,mode,workload,jobs,concurrency,processes,db_pool,jobs_per_second,finished_jobs_per_second,drain_jobs_per_second,execution_jobs_per_second,wall_time_s,enqueue_time_s,drain_time_s,execution_window_s,completed_jobs,successful_jobs,finished_jobs,failed_jobs,child_jobs_enqueued,child_jobs_finished,child_jobs_failed,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
solid_queue,thread,db_queries,500,5,1,10,85.71,85.71,88.31,89.13,5.834,0.171,5.662,5.61,500,500,500,0,0,0,0,139920,137861,86.2,99.4,3037.47,5537.08,5740.31,5803.21,21.22,28.61,36.49,42.43,3062.57,5559.51,5765.36,5827.1
solid_queue,thread,db_queries,500,10,1,15,95.39,95.39,97.92,99.4,5.242,0.136,5.106,5.03,500,500,500,0,0,0,0,141716,139281,101.1,109.3,2717.87,4968.94,5162.12,5200.3,36.94,52.92,68.92,76.66,2749.0,5009.72,5199.75,5236.21
solid_queue,thread,db_queries,500,25,1,30,95.51,95.51,98.16,100.49,5.235,0.142,5.094,4.975,500,500,500,0,0,0,0,141816,138700,101.2,119.0,2683.63,4951.66,5107.41,5184.16,115.54,162.9,188.94,213.1,2796.64,5061.6,5203.28,5229.22
solid_queue,thread,db_queries,500,50,1,55,93.92,93.92,96.51,100.89,5.324,0.143,5.181,4.956,500,500,500,0,0,0,0,142108,137513,100.9,118.8,2725.16,4869.35,5155.24,5207.94,254.59,373.81,414.89,552.69,2952.47,5172.23,5291.7,5318.06
solid_queue,thread,db_queries,500,5,2,10,152.83,152.83,159.38,161.95,3.272,0.134,3.137,3.087,500,500,500,0,0,0,0,277832,271326,167.7,198.5,1800.64,3104.96,3212.9,3252.45,22.22,34.41,77.4,87.92,1817.35,3127.1,3240.14,3266.12
solid_queue,thread,db_queries,500,10,2,15,168.46,168.46,176.23,181.54,2.968,0.131,2.837,2.754,500,500,500,0,0,0,0,281628,274215,194.8,227.3,1595.17,2799.11,2917.22,2927.48,39.94,60.6,76.36,89.52,1628.79,2835.64,2938.48,2962.66
solid_queue,thread,db_queries,500,25,2,30,168.72,168.72,176.82,185.41,2.963,0.136,2.828,2.697,500,500,500,0,0,0,0,282604,273128,195.2,228.0,1510.07,2797.41,2866.55,2902.92,122.22,175.85,203.98,213.82,1648.53,2888.3,2945.53,2957.86
solid_queue,thread,db_queries,500,5,6,10,342.99,342.99,378.4,397.72,1.458,0.136,1.321,1.257,500,500,500,0,0,0,0,827820,787599,492.2,553.5,830.05,1366.26,1417.79,1429.84,28.26,43.85,48.76,53.22,860.88,1394.0,1437.12,1451.67
solid_queue,thread,db_queries,500,10,6,15,354.94,354.94,394.17,428.21,1.409,0.14,1.268,1.168,500,500,500,0,0,0,0,839132,793406,519.9,613.6,799.62,1315.18,1361.58,1367.07,52.66,86.6,100.75,122.51,836.67,1368.68,1397.19,1403.45
solid_queue,fiber,db_queries,500,5,1,5,89.52,89.52,91.72,92.27,5.586,0.134,5.451,5.419,500,500,500,0,0,0,0,137272,135811,80.7,99.1,2909.01,5302.24,5514.8,5564.42,20.02,26.74,31.0,50.71,2931.05,5318.2,5540.89,5580.19
solid_queue,fiber,db_queries,500,10,1,5,98.97,98.97,101.72,102.34,5.052,0.136,4.916,4.886,500,500,500,0,0,0,0,138972,137297,88.2,99.3,2602.65,4790.17,4973.1,5004.88,42.27,52.98,61.54,73.13,2637.98,4833.52,5013.41,5046.68
