backend,mode,workload,jobs,concurrency,processes,db_pool,jobs_per_second,finished_jobs_per_second,drain_jobs_per_second,execution_jobs_per_second,wall_time_s,enqueue_time_s,drain_time_s,execution_window_s,completed_jobs,successful_jobs,finished_jobs,failed_jobs,child_jobs_enqueued,child_jobs_finished,child_jobs_failed,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
solid_queue,thread,db_transaction,500,5,1,10,21.68,21.68,21.8,21.85,23.065,0.13,22.935,22.88,500,500,500,0,0,0,0,138700,137746,22.0,59.5,11584.19,21718.41,22622.59,22848.76,211.04,214.55,220.74,225.42,11795.75,21929.61,22834.34,23059.94
solid_queue,thread,db_transaction,500,10,1,15,41.85,41.85,42.31,42.58,11.946,0.128,11.818,11.743,500,500,500,0,0,0,0,140996,139349,42.1,79.2,6061.67,11156.74,11609.07,11728.2,211.65,221.29,236.55,246.05,6272.24,11367.87,11823.21,11940.41
solid_queue,thread,db_transaction,500,25,1,30,72.36,72.36,73.75,75.38,6.91,0.13,6.78,6.633,500,500,500,0,0,0,0,145152,141500,83.2,109.2,3577.59,6394.4,6528.55,6670.72,242.0,279.5,300.14,327.16,3805.86,6629.04,6767.66,6904.44
solid_queue,thread,db_transaction,500,50,1,55,86.71,86.71,88.73,92.78,5.767,0.132,5.635,5.389,500,500,500,0,0,0,0,146068,140257,100.2,109.3,2700.26,5275.31,5465.84,5515.84,353.41,434.77,465.24,511.82,3132.9,5593.81,5731.08,5761.2
solid_queue,thread,db_transaction,500,5,2,10,42.18,42.18,42.68,42.87,11.853,0.138,11.715,11.663,500,500,500,0,0,0,0,276832,273132,46.2,128.7,5964.53,11047.41,11516.68,11635.84,211.1,218.6,226.84,271.58,6175.0,11258.16,11726.69,11846.44
solid_queue,thread,db_transaction,500,10,2,15,77.91,77.91,79.53,80.55,6.418,0.131,6.287,6.208,500,500,500,0,0,0,0,281920,276429,88.7,168.6,3253.24,5926.48,6170.77,6199.23,214.66,232.76,244.4,249.74,3466.18,6141.32,6383.31,6412.12
solid_queue,thread,db_transaction,500,25,2,30,129.09,129.09,133.55,138.75,3.873,0.129,3.744,3.604,500,500,500,0,0,0,0,285548,275427,162.9,218.0,1855.37,3384.37,3625.46,3650.56,250.02,290.91,313.93,318.23,2126.93,3638.57,3843.75,3868.15
solid_queue,thread,db_transaction,500,5,6,10,114.37,114.37,118.29,120.03,4.372,0.145,4.227,4.165,500,500,500,0,0,0,0,825044,802123,155.2,457.4,2192.42,3935.41,4120.92,4154.37,213.96,226.07,232.94,246.88,2408.44,4149.26,4332.14,4364.99
solid_queue,thread,db_transaction,500,10,6,15,191.39,191.39,202.07,209.08,2.612,0.138,2.474,2.391,500,500,500,0,0,0,0,839008,806309,272.9,522.2,1363.06,2275.33,2367.59,2390.68,221.05,246.45,253.87,258.89,1582.44,2494.26,2581.69,2606.09
solid_queue,fiber,db_transaction,500,5,1,10,21.23,21.23,21.35,21.38,23.556,0.138,23.419,23.388,500,500,500,0,0,0,0,138584,137721,21.6,39.8,11810.56,22178.09,23107.03,23339.6,211.11,214.48,221.77,231.59,12019.91,22388.06,23316.7,23551.25
