backend,mode,concurrency,processes,db_pool,jobs_per_second,finished_jobs_per_second,drain_jobs_per_second,execution_jobs_per_second,wall_time_s,enqueue_time_s,drain_time_s,execution_window_s,completed_jobs,successful_jobs,finished_jobs,failed_jobs,child_jobs_enqueued,child_jobs_finished,child_jobs_failed,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
solid_queue,thread,5,1,10,21.62,21.62,21.75,21.8,23.126,0.137,22.989,22.934,500,500,500,0,0,0,0,139244,138220,22.0,59.6,11572.55,21772.51,22677.58,22905.47,211.02,214.44,221.43,223.0,11784.81,21982.25,22890.17,23119.93
solid_queue,thread,10,1,15,41.63,41.63,42.11,42.4,12.009,0.137,11.872,11.792,500,500,500,0,0,0,0,140812,139234,42.6,79.5,6082.88,11218.2,11672.99,11791.02,212.29,223.4,233.11,238.04,6294.83,11429.53,11887.55,12003.65
solid_queue,thread,25,1,30,71.53,71.53,72.94,74.23,6.99,0.135,6.855,6.736,500,500,500,0,0,0,0,144628,140663,82.3,109.2,3548.15,6426.89,6713.59,6749.54,243.51,277.01,291.34,301.07,3783.27,6658.78,6931.54,6984.08
solid_queue,thread,50,1,55,85.48,85.48,87.54,91.4,5.85,0.138,5.711,5.47,500,500,500,0,0,0,0,147620,140752,99.1,109.3,2705.78,5265.46,5573.08,5606.09,348.59,432.24,469.92,519.3,3113.99,5654.73,5834.02,5843.87
solid_queue,thread,5,2,10,42.08,42.08,42.55,42.73,11.881,0.131,11.75,11.701,500,500,500,0,0,0,0,278216,274379,45.3,128.5,5940.78,11055.53,11515.34,11665.0,211.36,217.43,223.38,233.3,6152.8,11265.99,11726.18,11875.98
solid_queue,thread,10,2,15,77.28,77.28,78.98,80.02,6.47,0.139,6.331,6.248,500,500,500,0,0,0,0,281324,276126,88.3,178.3,3303.21,5941.74,6182.68,6251.76,214.88,228.97,244.01,248.13,3517.37,6155.26,6397.55,6464.19
solid_queue,thread,25,2,30,126.22,126.22,130.69,134.94,3.961,0.136,3.826,3.705,500,500,500,0,0,0,0,291252,280876,160.1,217.8,1902.34,3471.62,3722.83,3733.66,250.14,297.67,324.19,341.24,2166.96,3731.84,3939.35,3955.52
solid_queue,thread,5,6,10,114.37,114.37,118.26,120.17,4.372,0.144,4.228,4.161,500,500,500,0,0,0,0,826624,801307,158.9,355.5,2182.05,3919.13,4094.4,4150.7,214.16,227.99,237.93,266.25,2398.74,4132.0,4305.6,4365.57
solid_queue,thread,10,6,15,191.21,191.21,202.54,210.63,2.615,0.146,2.469,2.374,500,500,500,0,0,0,0,841052,807076,266.9,513.8,1360.64,2291.72,2350.7,2393.79,220.93,252.4,261.73,269.51,1578.96,2509.98,2568.04,2607.4
solid_queue,fiber,5,1,5,21.2,21.2,21.32,21.35,23.583,0.134,23.448,23.417,500,500,500,0,0,0,0,138860,137975,21.4,49.7,11848.52,22206.4,23133.68,23365.67,210.95,214.3,220.95,237.29,12060.06,22416.16,23343.6,23576.67
solid_queue,fiber,10,1,5,21.56,21.56,21.7,21.73,23.186,0.141,23.045,23.012,500,500,500,0,0,0,0,138600,137790,22.1,59.6,11673.65,21770.36,22693.62,22969.09,219.04,387.49,442.88,452.41,11891.25,22030.38,22944.28,23180.7
solid_queue,fiber,25,1,5,21.54,21.54,21.66,21.72,23.215,0.134,23.081,23.021,500,500,500,0,0,0,0,140236,139037,20.6,69.5,11483.06,21848.97,22778.75,22878.15,406.59,807.93,966.1,1117.4,11754.62,22064.37,22992.58,23209.67
solid_queue,fiber,50,1,5,21.58,21.58,21.7,21.74,23.173,0.135,23.038,23.003,500,500,500,0,0,0,0,143972,141530,20.3,89.5,11625.31,20517.16,22564.0,22571.76,822.47,1748.82,1951.73,1976.47,11853.29,22032.69,22948.41,23167.09
solid_queue,fiber,5,2,6,41.36,41.36,41.83,41.95,12.088,0.135,11.954,11.919,500,500,500,0,0,0,0,277800,274132,45.0,109.2,6086.75,11278.24,11742.2,11871.57,211.81,218.24,228.49,236.68,6296.53,11490.53,11955.09,12083.14
solid_queue,fiber,10,2,6,49.78,49.78,50.44,50.62,10.044,0.132,9.912,9.877,500,500,500,0,0,0,0,275964,272830,54.2,118.8,4836.45,9227.79,9667.06,9826.31,219.52,364.25,424.09,435.45,5170.85,9536.94,9895.39,10038.48
solid_queue,fiber,25,2,6,49.3,49.3,50.0,50.3,10.142,0.142,9.999,9.94,500,500,500,0,0,0,0,280628,276522,48.7,148.6,4720.13,9377.51,9699.34,9761.94,290.77,654.61,895.5,902.65,5149.37,9593.24,9958.67,10135.58
solid_queue,fiber,5,6,10,113.14,113.14,116.87,117.82,4.419,0.141,4.278,4.244,500,500,500,0,0,0,0,830444,805244,154.1,366.3,2200.18,3969.19,4177.52,4197.65,215.07,231.24,239.39,244.61,2419.86,4182.35,4391.48,4413.67
solid_queue,fiber,10,6,10,194.45,194.45,206.39,209.77,2.571,0.149,2.423,2.384,500,500,500,0,0,0,0,825572,797135,259.6,563.2,1292.92,2212.12,2333.16,2352.73,221.43,250.49,262.93,272.71,1526.38,2425.32,2548.42,2565.73
