backend,mode,workload,jobs,concurrency,processes,db_pool,jobs_per_second,finished_jobs_per_second,drain_jobs_per_second,execution_jobs_per_second,wall_time_s,enqueue_time_s,drain_time_s,execution_window_s,completed_jobs,successful_jobs,finished_jobs,failed_jobs,child_jobs_enqueued,child_jobs_finished,child_jobs_failed,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
solid_queue,thread,http,1000,5,1,10,71.42,71.42,72.67,72.91,14.002,0.241,13.761,13.716,1000,1000,1000,0,0,0,0,137336,136073,40.0,59.6,7142.82,13287.36,13814.23,13945.49,50.38,50.94,51.47,63.91,7193.29,13337.73,13864.58,13995.88
solid_queue,thread,http,1000,10,1,15,100.97,100.97,103.49,104.26,9.904,0.241,9.663,9.592,1000,1000,1000,0,0,0,0,139100,137129,59.4,79.3,5096.9,9430.76,9760.05,9847.47,50.63,51.43,52.14,68.85,5148.2,9481.59,9810.49,9898.4
solid_queue,thread,http,1000,25,1,30,159.93,159.93,167.24,170.39,6.253,0.273,5.98,5.869,1000,1000,1000,0,0,0,0,140480,137012,94.6,109.2,3307.96,5904.46,6172.98,6195.34,50.98,51.98,53.07,54.61,3360.56,5955.57,6224.4,6246.51
solid_queue,thread,http,1000,50,1,55,169.15,169.15,177.07,184.3,5.912,0.265,5.647,5.426,1000,1000,1000,0,0,0,0,141832,137824,98.9,109.3,3106.0,5602.81,5834.77,5855.18,51.13,53.01,55.1,59.56,3156.84,5653.39,5885.59,5906.29
solid_queue,thread,http,1000,5,2,10,130.45,130.45,134.83,135.62,7.666,0.249,7.417,7.373,1000,1000,1000,0,0,0,0,272860,268778,83.1,128.7,3995.88,7246.76,7538.38,7609.38,50.44,51.02,51.74,64.43,4046.48,7297.57,7588.81,7659.8
solid_queue,thread,http,1000,10,2,15,186.24,186.24,195.17,198.08,5.369,0.246,5.124,5.048,1000,1000,1000,0,0,0,0,277332,271215,121.9,188.2,2833.13,5063.49,5291.75,5313.49,50.67,51.58,52.03,67.6,2883.74,5114.09,5342.31,5363.86
solid_queue,thread,http,1000,25,2,30,281.03,281.03,301.57,313.18,3.558,0.242,3.316,3.193,1000,1000,1000,0,0,0,0,272864,264734,185.9,218.0,1961.27,3356.75,3429.93,3502.18,51.11,52.11,55.48,60.75,2013.64,3407.44,3480.75,3553.01
solid_queue,thread,http,1000,5,6,10,332.25,332.25,367.32,374.53,3.01,0.287,2.722,2.67,1000,1000,1000,0,0,0,0,816588,786283,268.5,424.6,1683.11,2837.63,2933.0,2952.75,50.58,51.61,54.31,60.8,1733.6,2888.32,2983.51,3003.25
solid_queue,thread,http,1000,10,6,15,453.25,453.25,510.32,537.08,2.206,0.247,1.96,1.862,1000,1000,1000,0,0,0,0,825468,790058,357.2,503.9,1249.85,2074.91,2119.92,2146.49,50.81,52.08,53.53,73.81,1301.48,2126.51,2170.81,2197.37
solid_queue,fiber,http,1000,5,1,10,67.49,67.49,68.59,68.77,14.818,0.238,14.58,14.541,1000,1000,1000,0,0,0,0,137380,136138,37.7,69.3,7559.6,14037.62,14618.69,14762.26,50.5,51.29,51.71,62.01,7610.25,14088.07,14669.05,14812.67
