backend,mode,capacity,processes,db_pool,jobs_per_second,finished_jobs_per_second,drain_jobs_per_second,execution_jobs_per_second,wall_time_s,enqueue_time_s,drain_time_s,execution_window_s,completed_jobs,successful_jobs,finished_jobs,failed_jobs,child_jobs_enqueued,child_jobs_finished,child_jobs_failed,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
solid_queue,thread,5,1,10,0.99,0.99,0.99,0.99,50.354,0.035,50.319,50.259,50,50,50,0,0,0,0,118476,112802,0.8,69.1,25210.26,45337.43,45347.87,45347.87,5000.09,5001.27,5007.86,5007.86,30210.35,50337.51,50348.24,50348.24
solid_queue,thread,10,1,15,1.97,1.97,1.98,1.98,25.347,0.032,25.316,25.216,50,50,50,0,0,0,0,121572,114000,1.7,69.4,10253.4,20341.39,20342.09,20342.09,5000.08,5000.3,5000.59,5000.59,15253.48,25341.47,25342.16,25342.16
solid_queue,thread,25,1,30,4.82,4.82,4.84,4.91,10.377,0.036,10.341,10.177,50,50,50,0,0,0,0,116916,114690,4.0,109.1,5305.7,5369.53,5370.04,5370.04,5000.18,5000.44,5001.89,5001.89,10305.81,10369.94,10370.27,10370.27
solid_queue,thread,50,1,55,9.36,9.36,9.42,9.9,5.34,0.035,5.306,5.05,50,50,50,0,0,0,0,118836,116067,6.7,99.1,326.07,334.05,334.6,334.6,5000.34,5000.71,5001.64,5001.64,5326.67,5334.68,5335.09,5335.09
solid_queue,thread,100,1,105,9.36,9.36,9.41,9.9,5.345,0.032,5.313,5.052,50,50,50,0,0,0,0,127472,117819,11.2,107.9,328.78,338.56,339.12,339.12,5000.59,5003.84,5004.42,5004.42,5330.74,5338.89,5339.57,5339.57
solid_queue,thread,150,1,155,9.35,9.35,9.41,9.9,5.349,0.034,5.315,5.053,50,50,50,0,0,0,0,127272,117687,11.6,109.0,333.89,342.75,343.29,343.29,5000.44,5002.66,5004.82,5004.82,5334.76,5343.2,5343.6,5343.6
solid_queue,thread,200,1,205,9.35,9.35,9.41,9.9,5.346,0.032,5.314,5.052,50,50,50,0,0,0,0,127164,117711,11.4,109.2,330.77,339.62,340.34,340.34,5000.49,5004.08,5004.44,5004.44,5332.37,5339.94,5340.55,5340.55
solid_queue,thread,5,2,10,1.98,1.98,1.98,1.99,25.283,0.032,25.251,25.183,50,50,50,0,0,0,0,229676,217593,1.9,138.1,10188.85,20266.98,20277.78,20277.78,5000.09,5000.41,5000.47,5000.47,15189.27,25267.07,25278.11,25278.11
solid_queue,thread,10,2,15,3.27,3.27,3.28,3.31,15.267,0.034,15.234,15.123,50,50,50,0,0,0,0,242572,220127,6.6,128.8,5208.6,10261.35,10262.02,10262.02,5000.08,5000.21,5000.43,5000.43,10208.69,15261.43,15262.09,15262.09
solid_queue,thread,25,2,30,9.55,9.55,9.61,9.92,5.234,0.033,5.201,5.043,50,50,50,0,0,0,0,229260,222113,8.4,198.0,206.45,227.5,228.38,228.38,5000.31,5000.79,5001.0,5001.0,5206.96,5228.5,5228.88,5228.88
