backend,mode,capacity,processes,db_pool,jobs_per_second,finished_jobs_per_second,drain_jobs_per_second,execution_jobs_per_second,wall_time_s,enqueue_time_s,drain_time_s,execution_window_s,completed_jobs,successful_jobs,finished_jobs,failed_jobs,child_jobs_enqueued,child_jobs_finished,child_jobs_failed,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
solid_queue,thread,5,1,10,1.53,1.53,1.53,1.54,13.089,0.026,13.063,12.999,20,20,20,0,800,800,0,128168,126628,72.9,89.4,3236.77,4837.41,4850.54,4850.54,1554.06,1593.31,1593.67,1593.67,11344.83,13074.52,13083.65,13083.65
solid_queue,thread,10,1,15,1.93,1.93,1.94,1.96,10.362,0.028,10.335,10.228,20,20,20,0,800,800,0,129112,127288,94.9,109.3,2619.27,2717.3,2717.61,2717.61,2471.04,2567.98,2581.75,2581.75,10195.38,10351.77,10356.52,10356.52
solid_queue,thread,25,1,30,1.97,1.97,1.98,2.01,10.13,0.035,10.094,9.952,20,20,20,0,800,800,0,125672,123572,103.0,119.2,178.78,181.48,181.77,181.77,6224.45,6433.02,6460.94,6460.94,10041.09,10117.68,10124.49,10124.49
solid_queue,thread,50,1,55,1.95,1.95,1.96,1.99,10.263,0.042,10.222,10.07,20,20,20,0,800,800,0,171276,157166,99.8,118.3,189.79,192.48,193.01,193.01,9245.99,9510.4,9523.48,9523.48,10100.48,10241.45,10254.11,10254.11
solid_queue,thread,100,1,105,2.01,2.01,2.02,2.05,9.947,0.04,9.907,9.766,20,20,20,0,800,800,0,169488,157981,102.1,119.1,178.03,181.02,181.49,181.49,9399.27,9521.43,9678.62,9678.62,9781.05,9925.95,9937.99,9937.99
solid_queue,thread,150,1,155,1.98,1.98,1.99,2.02,10.089,0.038,10.051,9.898,20,20,20,0,800,800,0,176160,162373,101.6,109.3,188.01,190.79,191.35,191.35,9539.78,9690.73,9772.2,9772.2,9843.67,10068.03,10080.37,10080.37
solid_queue,thread,200,1,205,1.98,1.98,1.99,2.02,10.103,0.042,10.06,9.912,20,20,20,0,800,800,0,163744,153665,102.1,119.0,186.94,190.16,190.46,190.46,9566.48,9774.98,9841.79,9841.79,9910.61,10080.66,10092.94,10092.94
solid_queue,thread,5,2,10,1.54,1.54,1.54,1.55,12.999,0.025,12.974,12.911,20,20,20,0,800,800,0,253804,251458,76.0,168.7,1755.62,1834.61,1854.56,1854.56,1752.86,1867.3,1870.57,1870.57,12739.41,12979.63,12993.19,12993.19
solid_queue,thread,10,2,15,2.22,2.22,2.23,2.26,8.99,0.027,8.963,8.848,20,20,20,0,800,800,0,260588,255583,117.6,218.5,140.01,142.74,143.13,143.13,2676.41,2743.13,2760.04,2760.04,8845.28,8955.87,8983.77,8983.77
solid_queue,thread,25,2,30,2.01,2.01,2.02,2.05,9.932,0.038,9.894,9.743,20,20,20,0,800,800,0,259144,249569,112.4,188.3,186.65,189.5,189.79,189.79,5915.51,6064.18,6143.92,6143.92,9814.31,9910.3,9923.69,9923.69
solid_queue,thread,50,2,55,2.89,2.89,2.9,2.96,6.919,0.025,6.893,6.745,20,20,20,0,800,800,0,259596,249851,169.9,196.8,174.02,176.53,176.92,176.92,6630.7,6712.4,6722.12,6722.12,6812.17,6910.92,6913.3,6913.3
solid_queue,thread,100,2,105,2.85,2.85,2.86,2.92,7.02,0.026,6.993,6.851,20,20,20,0,800,800,0,261584,251974,169.4,207.8,169.07,171.66,171.96,171.96,6683.04,6791.84,6827.41,6827.41,6879.01,6968.38,7013.81,7013.81
solid_queue,thread,150,2,155,2.93,2.93,2.94,3.01,6.823,0.028,6.795,6.647,20,20,20,0,800,800,0,263572,252340,171.4,208.1,176.24,178.72,179.01,179.01,6462.71,6592.39,6635.19,6635.19,6655.6,6787.16,6816.69,6816.69
solid_queue,thread,200,2,205,2.89,2.89,2.9,2.96,6.916,0.026,6.89,6.746,20,20,20,0,800,800,0,258732,248916,168.2,208.4,170.56,173.43,173.71,173.71,6542.41,6679.18,6723.06,6723.06,6756.84,6857.71,6910.41,6910.41
solid_queue,thread,5,6,10,4.12,4.12,4.15,4.21,4.849,0.027,4.823,4.753,20,20,20,0,800,800,0,748136,732811,238.7,445.3,93.74,96.35,96.65,96.65,1912.77,2001.23,2006.28,2006.28,4794.98,4837.84,4843.9,4843.9
solid_queue,thread,10,6,15,4.01,4.01,4.03,4.12,4.987,0.026,4.961,4.854,20,20,20,0,800,800,0,761912,732466,240.3,503.6,129.89,131.35,131.6,131.6,2842.88,2911.41,2913.66,2913.66,4923.19,4975.94,4981.52,4981.52
solid_queue,thread,25,6,30,3.04,3.04,3.06,3.13,6.569,0.027,6.542,6.397,20,20,20,0,800,800,0,752936,719296,221.9,306.4,171.68,174.74,175.05,175.05,6229.5,6368.64,6381.0,6381.0,6409.98,6551.18,6562.75,6562.75
solid_queue,thread,50,6,55,3.06,3.06,3.08,3.15,6.533,0.029,6.504,6.356,20,20,20,0,800,800,0,742156,712084,222.9,335.9,175.52,178.42,178.96,178.96,6245.15,6328.27,6336.45,6336.45,6435.29,6520.47,6525.67,6525.67
solid_queue,thread,100,6,105,3.07,3.07,3.08,3.15,6.517,0.026,6.491,6.346,20,20,20,0,800,800,0,748256,711961,222.6,356.1,172.78,175.71,176.34,176.34,6194.68,6324.02,6335.44,6335.44,6372.11,6505.36,6511.98,6511.98
solid_queue,thread,150,6,155,3.08,3.08,3.09,3.16,6.499,0.026,6.473,6.319,20,20,20,0,800,800,0,743532,711587,223.0,286.7,180.56,183.65,183.95,183.95,6193.54,6292.06,6297.86,6297.86,6370.36,6487.12,6493.1,6493.1
solid_queue,thread,200,6,205,3.02,3.02,3.03,3.1,6.63,0.026,6.604,6.458,20,20,20,0,800,800,0,749928,712751,220.8,286.9,172.19,175.15,175.56,175.56,6276.97,6404.67,6448.3,6448.3,6450.16,6594.16,6624.34,6624.34
solid_queue,async,5,1,5,1.54,1.54,1.54,1.55,12.986,0.025,12.961,12.921,20,20,20,0,800,800,0,124400,122828,67.3,89.3,3294.05,4917.02,4996.54,4996.54,1539.45,1677.4,1692.73,1692.73,11319.77,12962.77,12981.06,12981.06
solid_queue,async,10,1,5,1.68,1.68,1.69,1.69,11.905,0.041,11.863,11.809,20,20,20,0,800,800,0,123680,122395,68.7,99.3,2780.45,2918.92,2921.68,2921.68,2641.67,2748.88,2751.41,2751.41,11587.23,11881.85,11895.56,11895.56
solid_queue,async,25,1,5,1.5,1.5,1.5,1.51,13.357,0.04,13.317,13.261,20,20,20,0,800,800,0,124912,123156,59.7,109.0,106.95,110.71,111.01,111.01,6036.86,6071.3,6097.45,6097.45,13238.07,13332.61,13348.17,13348.17
solid_queue,async,50,1,5,1.31,1.31,1.32,1.32,15.216,0.039,15.178,15.11,20,20,20,0,800,800,0,130040,127200,51.0,89.3,101.51,104.88,105.22,105.22,9952.53,10088.66,10158.78,10158.78,15097.67,15195.34,15207.34,15207.34
solid_queue,async,100,1,5,1.66,1.66,1.66,1.67,12.049,0.027,12.022,11.972,20,20,20,0,800,800,0,130804,129131,63.7,109.0,91.2,95.12,95.7,95.7,11589.91,11635.32,11757.6,11757.6,11980.56,12034.23,12043.16,12043.16
solid_queue,async,150,1,5,1.42,1.42,1.43,1.43,14.061,0.041,14.02,13.963,20,20,20,0,800,800,0,128476,126670,55.4,99.3,111.04,114.51,114.79,114.79,13440.45,13508.63,13753.74,13753.74,13863.08,14039.58,14052.48,14052.48
solid_queue,async,200,1,5,1.27,1.27,1.28,1.28,15.72,0.04,15.68,15.627,20,20,20,0,800,800,0,128368,126886,50.2,99.3,104.01,107.83,108.13,108.13,15156.71,15370.69,15386.74,15386.74,15634.45,15699.77,15711.29,15711.29
