backend,mode,workload,jobs,concurrency,processes,db_pool,jobs_per_second,finished_jobs_per_second,drain_jobs_per_second,execution_jobs_per_second,wall_time_s,enqueue_time_s,drain_time_s,execution_window_s,completed_jobs,successful_jobs,finished_jobs,failed_jobs,child_jobs_enqueued,child_jobs_finished,child_jobs_failed,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
solid_queue,thread,ruby_llm_stream,20,5,1,10,1.51,1.51,1.51,1.52,13.285,0.062,13.223,13.162,20,20,20,0,800,800,0,147600,144728,94.2,109.3,3047.52,4547.68,4613.92,4613.92,1435.3,1501.42,1509.98,1509.98,11332.46,13217.1,13264.22,13264.22
solid_queue,thread,ruby_llm_stream,20,10,1,15,1.6,1.6,1.6,1.62,12.497,0.025,12.472,12.38,20,20,20,0,800,800,0,147856,144893,102.3,119.2,3060.14,3218.7,3382.9,3382.9,2926.84,3008.6,3142.01,3142.01,12267.86,12485.84,12491.79,12491.79
solid_queue,thread,ruby_llm_stream,20,25,1,30,1.58,1.58,1.58,1.59,12.698,0.028,12.67,12.542,20,20,20,0,800,800,0,155584,151940,102.5,119.1,165.85,206.66,207.16,207.16,7418.37,7760.77,7784.6,7784.6,12491.21,12672.4,12692.24,12692.24
solid_queue,thread,ruby_llm_stream,20,50,1,55,1.65,1.65,1.66,1.68,12.091,0.028,12.062,11.938,20,20,20,0,800,800,0,204044,191884,102.6,118.8,165.69,186.41,208.91,208.91,11644.51,11910.9,11916.42,11916.42,11837.83,12079.99,12084.69,12084.69
solid_queue,thread,ruby_llm_stream,20,5,2,10,2.76,2.76,2.77,2.79,7.259,0.031,7.228,7.166,20,20,20,0,800,800,0,290456,285223,186.5,218.3,1690.01,1745.3,1754.87,1754.87,1552.88,1604.24,1609.1,1609.1,7107.48,7242.11,7253.68,7253.68
solid_queue,thread,ruby_llm_stream,20,10,2,15,2.94,2.94,2.96,3.0,6.798,0.031,6.768,6.672,20,20,20,0,800,800,0,294216,287225,203.2,227.9,127.56,138.46,142.41,142.41,3191.19,3268.0,3285.8,3285.8,6690.07,6790.12,6791.27,6791.27
solid_queue,thread,ruby_llm_stream,20,25,2,30,2.56,2.56,2.57,2.61,7.822,0.028,7.794,7.667,20,20,20,0,800,800,0,350012,314841,177.1,218.1,169.87,184.75,207.09,207.09,7443.16,7610.78,7662.76,7662.76,7612.09,7779.94,7816.24,7816.24
solid_queue,thread,ruby_llm_stream,20,5,6,10,6.69,6.69,6.76,6.93,2.991,0.035,2.957,2.887,20,20,20,0,800,800,0,857316,828963,543.0,603.7,106.31,108.78,110.04,110.04,1870.33,1897.41,1917.02,1917.02,2922.9,2944.64,2984.53,2984.53
solid_queue,thread,ruby_llm_stream,20,10,6,15,5.51,5.51,5.55,5.69,3.632,0.027,3.606,3.518,20,20,20,0,800,800,0,885932,837386,437.2,582.6,120.31,129.95,138.97,138.97,3380.53,3482.05,3517.78,3517.78,3519.5,3616.14,3626.96,3626.96
solid_queue,fiber,ruby_llm_stream,20,5,1,10,1.63,1.63,1.64,1.64,12.252,0.027,12.225,12.175,20,20,20,0,800,800,0,144148,142435,85.8,109.1,2673.84,3963.61,3984.64,3984.64,1249.97,1311.76,1312.78,1312.78,10395.9,12210.04,12246.51,12246.51
