backend,mode,workload,jobs,concurrency,processes,db_pool,jobs_per_second,finished_jobs_per_second,drain_jobs_per_second,execution_jobs_per_second,wall_time_s,enqueue_time_s,drain_time_s,execution_window_s,completed_jobs,successful_jobs,finished_jobs,failed_jobs,child_jobs_enqueued,child_jobs_finished,child_jobs_failed,peak_rss_kb,avg_rss_kb,avg_cpu_pct,peak_cpu_pct,queue_delay_p50_ms,queue_delay_p95_ms,queue_delay_p99_ms,queue_delay_max_ms,service_time_p50_ms,service_time_p95_ms,service_time_p99_ms,service_time_max_ms,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,total_latency_max_ms
solid_queue,thread,sleep,1000,5,1,10,72.4,72.4,73.68,73.95,13.813,0.241,13.572,13.522,1000,1000,1000,0,0,0,0,136912,135610,38.9,59.5,7077.73,13076.8,13624.03,13757.17,50.08,50.3,50.51,56.74,7127.81,13126.88,13674.12,13807.25
solid_queue,thread,sleep,1000,10,1,15,100.53,100.53,103.0,103.74,9.947,0.239,9.708,9.639,1000,1000,1000,0,0,0,0,139540,137724,56.3,99.1,5140.78,9379.6,9797.61,9891.56,50.08,50.41,50.86,51.88,5190.86,9429.88,9847.69,9941.64
solid_queue,thread,sleep,1000,25,1,30,166.22,166.22,173.16,176.74,6.016,0.241,5.775,5.658,1000,1000,1000,0,0,0,0,144724,140938,93.7,119.1,3113.67,5662.49,5891.57,5960.36,50.22,50.85,51.53,51.91,3163.84,5712.59,5941.66,6010.63
solid_queue,thread,sleep,1000,50,1,55,177.37,177.37,185.41,193.15,5.638,0.244,5.394,5.177,1000,1000,1000,0,0,0,0,141860,137829,100.1,118.5,3012.77,5336.66,5576.15,5581.87,50.28,51.08,52.0,54.35,3063.18,5386.85,5626.48,5632.01
solid_queue,thread,sleep,1000,5,2,10,131.41,131.41,135.59,136.43,7.61,0.234,7.375,7.33,1000,1000,1000,0,0,0,0,274504,270207,79.6,128.8,3932.19,7193.12,7475.37,7554.37,50.08,50.44,50.94,63.11,3982.27,7243.2,7525.62,7604.42
solid_queue,thread,sleep,1000,10,2,15,186.17,186.17,195.4,197.99,5.371,0.254,5.118,5.051,1000,1000,1000,0,0,0,0,277956,271770,116.2,178.3,2823.64,5032.37,5250.17,5316.04,50.08,50.47,50.87,51.88,2873.72,5083.17,5300.25,5366.12
solid_queue,thread,sleep,1000,25,2,30,289.4,289.4,311.81,324.36,3.455,0.248,3.207,3.083,1000,1000,1000,0,0,0,0,279260,269407,181.6,218.2,1883.24,3267.2,3382.77,3399.87,50.23,50.86,51.61,54.38,1933.38,3317.63,3432.85,3450.0
solid_queue,thread,sleep,1000,5,6,10,340.66,340.66,374.6,381.56,2.935,0.266,2.67,2.621,1000,1000,1000,0,0,0,0,815536,786822,260.8,435.2,1622.54,2750.15,2844.94,2875.98,50.09,50.59,56.47,71.61,1672.62,2800.21,2895.46,2926.06
solid_queue,thread,sleep,1000,10,6,15,465.81,465.81,524.19,546.97,2.147,0.239,1.908,1.828,1000,1000,1000,0,0,0,0,829992,791803,344.9,484.6,1203.43,2002.48,2050.29,2091.46,50.09,50.69,51.64,66.74,1253.51,2052.56,2100.37,2141.55
solid_queue,fiber,sleep,1000,5,1,5,67.37,67.37,68.41,68.61,14.844,0.227,14.617,14.576,1000,1000,1000,0,0,0,0,137368,136224,36.1,59.4,7596.35,14073.92,14644.77,14788.61,50.11,50.94,51.22,61.12,7646.43,14123.95,14695.04,14838.87
solid_queue,fiber,sleep,1000,10,1,5,107.79,107.79,110.67,111.04,9.277,0.241,9.036,9.006,1000,1000,1000,0,0,0,0,136984,135546,54.4,89.2,4773.04,8815.34,9148.11,9221.67,50.04,50.61,51.07,66.84,4823.07,8865.37,9198.62,9271.87
solid_queue,fiber,sleep,1000,25,1,5,172.05,172.05,178.98,180.6,5.812,0.225,5.587,5.537,1000,1000,1000,0,0,0,0,138652,136470,72.9,99.2,3021.72,5485.84,5659.79,5756.95,50.09,50.5,51.73,62.7,3072.09,5536.03,5709.81,5807.11
solid_queue,fiber,sleep,1000,50,1,5,211.46,211.46,222.74,224.03,4.729,0.24,4.489,4.464,1000,1000,1000,0,0,0,0,140796,138232,80.7,99.3,2412.25,4445.9,4668.8,4673.58,50.13,50.54,51.48,55.87,2462.28,4496.06,4719.05,4723.6
solid_queue,fiber,sleep,1000,5,2,6,126.98,126.98,130.85,131.25,7.875,0.233,7.642,7.619,1000,1000,1000,0,0,0,0,274588,270229,75.0,118.8,4084.37,7431.55,7739.14,7819.66,50.07,50.82,51.46,60.22,4134.41,7481.58,7789.36,7869.69
solid_queue,fiber,sleep,1000,10,2,6,204.98,204.98,214.99,216.82,4.878,0.227,4.651,4.612,1000,1000,1000,0,0,0,0,274048,268950,111.0,148.5,2576.39,4605.95,4767.1,4822.52,50.04,50.63,51.31,60.35,2626.93,4656.42,4817.33,4872.55
solid_queue,fiber,sleep,1000,25,2,6,329.22,329.22,357.17,359.43,3.037,0.238,2.8,2.782,1000,1000,1000,0,0,0,0,277584,270076,153.3,188.4,1625.35,2890.9,2978.04,2982.04,50.12,50.72,52.94,60.11,1675.39,2941.1,3028.2,3032.26
